Drug name	Disease name
Acamprosate	Alcohol Dependence
Acarbose	Diabetes Mellitus, Noninsulin-Dependent; Niddm
Acarbose	Maturity-Onset Diabetes Of The Young, Type 1; Mody1
Acarbose	Maturity-Onset Diabetes Of The Young, Type 2; Mody2
Acarbose	Maturity-Onset Diabetes Of The Young, Type 3; Mody3
Acebutolol	Hypertension, Diastolic, Resistance To
Acebutolol	Renal Failure, Progressive, With Hypertension
Acetaminophen	Hyperthermia, Cutaneous, With Headaches And Nausea
Acetaminophen	Insensitivity To Pain With Hyperplastic Myelinopathy
Acetaminophen	Migraine With Or Without Aura, Susceptibility To, 1
Acetaminophen	Neuropathy, Hereditary Sensory And Autonomic, Type I, With Cough And Gastroesophageal Reflux
Acetaminophen	Osteoarthritis Susceptibility 2; Os2
Acetazolamide	Cholestasis, Intrahepatic, Of Pregnancy; Icp
Acetazolamide	Convulsive Disorder, Familial, With Prenatal Or Early Onset
Acetazolamide	Enteropathy, Familial, With Villous Edema And Immunoglobulin G2 Deficiency
Acetazolamide	Hydrops-Ectopic Calcification-Moth-Eaten Skeletal Dysplasia
Acetazolamide	Hyperphosphatemia, Polyuria, And Seizures
Acetazolamide	Intracranial Hypertension, Idiopathic
Acetohexamide	Diabetes Mellitus, Noninsulin-Dependent; Niddm
Acetohexamide	Maturity-Onset Diabetes Of The Young, Type 1; Mody1
Acetohexamide	Maturity-Onset Diabetes Of The Young, Type 2; Mody2
Acetohexamide	Maturity-Onset Diabetes Of The Young, Type 3; Mody3
Acetophenazine	Schizophrenia; Sczd
Aciclovir	Rodrigues Blindness
Adapalene	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne
Adenosine	Wolff-Parkinson-White Syndrome
Adenosine Monophosphate	Wolff-Parkinson-White Syndrome
Alclometasone	Growth Retardation, Small And Puffy Hands And Feet, And Eczema
Alendronate	Acroosteolysis With Osteoporosis And Changes In Skull And Mandible
Alendronate	Inclusion Body Myopathy With Early-Onset Paget Disease And Frontotemporal
Alendronate	Legg-Calve-Perthes Disease
Alendronate	Osteoporosis
Alendronate	Paget Disease Of Bone; Pdb
Alfuzosin	Acanthosis Nigricans With Muscle Cramps And Acral Enlargement
Alfuzosin	Insensitivity To Pain With Hyperplastic Myelinopathy
Alfuzosin	Prostatic Hyperplasia, Benign; Bph
Aliskiren	Hypertension, Diastolic, Resistance To
Aliskiren	Hypertension, Essential
Aliskiren	Renal Failure, Progressive, With Hypertension
Alitretinoin	Kaposi Sarcoma
Allopurinol	Leishmaniasis, Tegumentary, Susceptibility To
Allopurinol	Nephrolithiasis, X-Linked Recessive, With Renal Failure; Xrn
Almotriptan	Migraine With Or Without Aura, Susceptibility To, 1
Alosetron	Pelger-Huet-Like Anomaly And Episodic Fever With Abdominal Pain
Alprazolam	Motor Neuropathy, Peripheral, With Dysautonomia
Alprazolam	Panic Disorder 1; Pand1
Amantadine	Multiple Sclerosis, Susceptibility To; Ms
Amantadine	Paralysis Agitans, Juvenile, Of Hunt
Amantadine	Popliteal Pterygium Syndrome; Pps
Ambenonium	Myasthenia Gravis; Mg
Amifostine	Mismatch Repair Cancer Syndrome
Amiloride	Ascites, Chylous
Amiloride	Hydrops-Ectopic Calcification-Moth-Eaten Skeletal Dysplasia
Amiloride	Hypertension, Diastolic, Resistance To
Amiloride	Renal Failure, Progressive, With Hypertension
Aminoglutethimide	Rodrigues Blindness
Aminophylline	Asthma, Nasal Polyps, And Aspirin Intolerance
Aminophylline	Asthma, Susceptibility To
Aminophylline	Berry Aneurysm, Cirrhosis, Pulmonary Emphysema, And Cerebral Calcification
Amiodarone	Cardiac Arrhythmia
Amitriptyline	Hyperhidrosis Palmaris Et Plantaris
Amitriptyline	Insensitivity To Pain With Hyperplastic Myelinopathy
Amitriptyline	Motor Neuropathy, Peripheral, With Dysautonomia
Amlodipine	Cerebral Arteriopathy, Autosomal Dominant, With Subcortical Infarcts
Amlodipine	Coronary Artery Disease, Autosomal Dominant, 1; Adcad1
Amlodipine	Hypertension, Diastolic, Resistance To
Amlodipine	Hypertension, Essential
Amlodipine	Raynaud Disease
Amlodipine	Renal Failure, Progressive, With Hypertension
Amobarbital	Convulsive Disorder, Familial, With Prenatal Or Early Onset
Amobarbital	Hyperphosphatemia, Polyuria, And Seizures
Amphetamine	Attention Deficit-Hyperactivity Disorder; Adhd
Amrinone	Cardiomyopathy, Dilated, Autosomal Recessive
Anastrozole	Breast Cancer
Anastrozole	Mccune-Albright Syndrome; Mas
Anisindione	Atrial Fibrillation, Familial, 3; Atfb3
Apomorphine	Paralysis Agitans, Juvenile, Of Hunt
Apomorphine	Parkinson Disease; Pd
Ardeparin	Thrombosis, Susceptibility To
Argatroban	Thrombosis, Susceptibility To
Aripiprazole	Obsessive-Compulsive Disorder; Ocd
Aripiprazole	Schizophrenia; Sczd
Arsenic Trioxide	Mismatch Repair Cancer Syndrome
Aspirin	Antiphospholipid Syndrome, Familial
Aspirin	Arthropathy, Progressive Pseudorheumatoid, Of Childhood; Ppac
Aspirin	Cerebral Arteriopathy, Autosomal Dominant, With Subcortical Infarcts
Aspirin	Hyperthermia, Cutaneous, With Headaches And Nausea
Aspirin	Insensitivity To Pain With Hyperplastic Myelinopathy
Aspirin	Legg-Calve-Perthes Disease
Aspirin	Migraine With Or Without Aura, Susceptibility To, 1
Aspirin	Osteoarthritis Susceptibility 1; Os1
Aspirin	Osteoarthritis Susceptibility 2; Os2
Aspirin	Osteoarthritis Susceptibility 3; Os3
Aspirin	Sensory Ataxic Neuropathy, Dysarthria, And Ophthalmoparesis; Sando
Aspirin	Stroke, Ischemic
Aspirin	Systemic Lupus Erythematosus; Sle
Astemizole	Insect Stings, Hypersensitivity To
Atazanavir	Autoimmune Disease
Atenolol	Blepharophimosis, Ptosis, And Epicanthus Inversus; Bpes
Atenolol	Mitral Valve Prolapse, Familial; Mvp
Atomoxetine	Attention Deficit-Hyperactivity Disorder; Adhd
Atorvastatin	Hypercholesterolemia, Autosomal Dominant, Type B
Atropine	Enterocolitis
Atropine	Tremor, Nystagmus, And Duodenal Ulcer
Auranofin	Felty Syndrome
Azacitidine	Miller-Dieker Lissencephaly Syndrome; Mdls
Azacitidine	Onychotrichodysplasia And Neutropenia
Azacitidine	Portal Vein, Cavernous Transformation Of
Azathioprine	Ataxia, Early-Onset, With Oculomotor Apraxia And Hypoalbuminemia;
Azathioprine	Growth Retardation, Small And Puffy Hands And Feet, And Eczema
Azathioprine	Inflammatory Bowel Disease 1; Ibd1
Azathioprine	Multiple Sclerosis, Susceptibility To; Ms
Azathioprine	Myasthenia Gravis; Mg
Azathioprine	Myopathy, Distal, With Onset In Infancy
Azathioprine	Sarcoidosis, Susceptibility To, 1; Ss1
Azathioprine	Systemic Lupus Erythematosus; Sle
Azathioprine	Thrombocytopenic Purpura, Autoimmune; Aitp
Azelaic Acid	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne
Baclofen	Choreoathetosis/Spasticity, Episodic; Cse
Baclofen	Dystonia 4, Torsion, Autosomal Dominant; Dyt4
Baclofen	Huntington Disease; Hd
Baclofen	Insensitivity To Pain With Hyperplastic Myelinopathy
Baclofen	Multiple Sclerosis, Susceptibility To; Ms
Baclofen	Spastic Paralysis, Infantile-Onset Ascending; Iahsp
Baclofen	Torticollis
Baclofen	Trigeminal Neuralgia
Balsalazide	Inflammatory Bowel Disease 1; Ibd1
Beclomethasone	Asthma, Nasal Polyps, And Aspirin Intolerance
Beclomethasone	Asthma, Susceptibility To
Benazepril	Hypertension, Diastolic, Resistance To
Benazepril	Hypoparathyroidism, Sensorineural Deafness, And Renal Disease
Benazepril	Renal Failure, Progressive, With Hypertension
Bendroflumethiazide	Enteropathy, Familial, With Villous Edema And Immunoglobulin G2 Deficiency
Bendroflumethiazide	Hydrops-Ectopic Calcification-Moth-Eaten Skeletal Dysplasia
Bendroflumethiazide	Hypertension, Diastolic, Resistance To
Bendroflumethiazide	Nephrotic Syndrome, Early-Onset, With Diffuse Mesangial Sclerosis
Bendroflumethiazide	Renal Failure, Progressive, With Hypertension
Benzocaine	Insensitivity To Pain With Hyperplastic Myelinopathy
Benzocaine	Otitis Media, Susceptibility To
Benzonatate	Neuropathy, Hereditary Sensory And Autonomic, Type I, With Cough And Gastroesophageal Reflux
Benzphetamine	Choroideremia With Deafness And Obesity
Benzphetamine	Obesity
Benzphetamine	Prolactin Deficiency With Obesity And Enlarged Testes
Benzquinamide	Hyperthermia, Cutaneous, With Headaches And Nausea
Benztropine	Dementia/Parkinsonism With Non-Alzheimer Amyloid Plaques
Benztropine	Paralysis Agitans, Juvenile, Of Hunt
Benztropine	Parkinson Disease; Pd
Bepridil	Hypertension, Diastolic, Resistance To
Bepridil	Renal Failure, Progressive, With Hypertension
Betamethasone	Dermatitis, Atopic
Betamethasone	Dermatosis Papulosa Nigra
Betamethasone	Exostoses Of Heel
Betamethasone	Lichen Sclerosus Et Atrophicus; Lsa
Betaxolol	Glaucoma 1, Open Angle, A; Glc1A
Betaxolol	Hypertension, Diastolic, Resistance To
Betaxolol	Renal Failure, Progressive, With Hypertension
Bethanechol	Gastroesophageal Reflux
Bethanechol	Permanent Molars, Secondary Retention Of
Bethanechol	Urinary Bladder, Atony Of
Bexarotene	Mismatch Repair Cancer Syndrome
Bexarotene	Mycosis Fungoides
Bicalutamide	Prostate Cancer
Bimatoprost	Glaucoma 1, Open Angle, A; Glc1A
Bimatoprost	Glaucoma 1, Open Angle, C; Glc1C
Bimatoprost	Glaucoma, Primary Open Angle; Poag
Bimatoprost	Renal Failure, Progressive, With Hypertension
Biperiden	Dementia/Parkinsonism With Non-Alzheimer Amyloid Plaques
Biperiden	Paralysis Agitans, Juvenile, Of Hunt
Bismuth	Helicobacter Pylori Infection, Susceptibility To
Bisoprolol	Blepharophimosis, Ptosis, And Epicanthus Inversus; Bpes
Bisoprolol	Mitral Valve Prolapse, Familial; Mvp
Bitolterol	Asthma, Nasal Polyps, And Aspirin Intolerance
Bitolterol	Asthma, Susceptibility To
Bleomycin	Hodgkin Lymphoma
Bleomycin	Leukemia, Chronic Lymphocytic, Susceptibility To, 2
Bleomycin	Lymphoblastic Leukemia, Acute, With Lymphomatous Features; Lall
Bleomycin	Melanoma, Cutaneous Malignant, Susceptibility To, 2; Cmm2
Bleomycin	Melanoma, Cutaneous Malignant; Cmm
Bleomycin	Reticulum Cell Sarcoma
Bleomycin	Testicular Tumors
Bortezomib	Myeloma, Multiple
Bosentan	Pulmonary Hypertension, Primary, 1; Pph1
Bosentan	Renal Failure, Progressive, With Hypertension
Brimonidine	Glaucoma 1, Open Angle, A; Glc1A
Brimonidine	Glaucoma 1, Open Angle, C; Glc1C
Brimonidine	Glaucoma, Primary Open Angle; Poag
Brimonidine	Renal Failure, Progressive, With Hypertension
Brinzolamide	Glaucoma 1, Open Angle, A; Glc1A
Brinzolamide	Glaucoma 1, Open Angle, C; Glc1C
Brinzolamide	Glaucoma, Primary Open Angle; Poag
Brinzolamide	Renal Failure, Progressive, With Hypertension
Bromfenac	Cataract And Cardiomyopathy
Bromfenac	Cataract, Aberrant Oral Frenula, And Growth Retardation
Bromocriptine	Paralysis Agitans, Juvenile, Of Hunt
Buclizine	Hyperthermia, Cutaneous, With Headaches And Nausea
Budesonide	Asthma, Nasal Polyps, And Aspirin Intolerance
Budesonide	Asthma, Susceptibility To
Budesonide	Berry Aneurysm, Cirrhosis, Pulmonary Emphysema, And Cerebral Calcification
Budesonide	Inflammatory Bowel Disease 1; Ibd1
Budesonide	Inflammatory Bowel Disease 11; Ibd11
Bumetanide	Alpers Diffuse Degeneration Of Cerebral Gray Matter With Hepatic Cirrhosis
Bumetanide	Ascites, Chylous
Bumetanide	Berry Aneurysm, Cirrhosis, Pulmonary Emphysema, And Cerebral Calcification
Bumetanide	Enteropathy, Familial, With Villous Edema And Immunoglobulin G2 Deficiency
Bumetanide	Hydrops-Ectopic Calcification-Moth-Eaten Skeletal Dysplasia
Bumetanide	Hypertension, Diastolic, Resistance To
Bumetanide	Hypoparathyroidism, Sensorineural Deafness, And Renal Disease
Bumetanide	Nephrotic Syndrome, Early-Onset, With Diffuse Mesangial Sclerosis
Bumetanide	Osteolysis, Hereditary, Of Carpal Bones With Or Without Nephropathy
Bumetanide	Renal Failure, Progressive, With Hypertension
Bupivacaine	Insensitivity To Pain With Hyperplastic Myelinopathy
Buprenorphine	Insensitivity To Pain With Hyperplastic Myelinopathy
Bupropion	Attention Deficit-Hyperactivity Disorder; Adhd
Bupropion	Panic Disorder 1; Pand1
Bupropion	Prolactin Deficiency With Obesity And Enlarged Testes
Buspirone	Alopecia, Psychomotor Epilepsy, Pyorrhea, And Mental Subnormality
Buspirone	Mental And Growth Retardation With Amblyopia
Buspirone	Ophthalmoplegia, Progressive, With Scrotal Tongue And Mental Deficiency
Buspirone	Ossified Ear Cartilages With Mental Deficiency, Muscle Wasting, And
Buspirone	Panic Disorder 1; Pand1
Buspirone	Spondyloepimetaphyseal Dysplasia, X-Linked, With Mental Deterioration
Busulfan	Dohle Bodies And Leukemia
Busulfan	Leukemia, Acute Myelocytic, With Polyposis Coli And Colon Cancer
Busulfan	Mismatch Repair Cancer Syndrome
Busulfan	Myelofibrosis
Busulfan	Polycythemia Vera
Butalbital	Hyperthermia, Cutaneous, With Headaches And Nausea
Butalbital	Migraine With Or Without Aura, Susceptibility To, 1
Butorphanol	Insensitivity To Pain With Hyperplastic Myelinopathy
Cabergoline	Pituitary Adenoma, Prolactin-Secreting
Caffeine	Flushing Of Ears And Somnolence
Caffeine	Hyperthermia, Cutaneous, With Headaches And Nausea
Caffeine	Insensitivity To Pain With Hyperplastic Myelinopathy
Caffeine	Migraine With Or Without Aura, Susceptibility To, 1
Caffeine	Osteoarthritis Susceptibility 2; Os2
Calcitriol	Hypoparathyroidism, Sensorineural Deafness, And Renal Disease
Calcitriol	Vitamin D-Dependent Rickets, Type 2A; Vddr2A
Calcitriol	Vitamin E, Familial Isolated Deficiency Of; Ved
Candesartan	Hypertension, Diastolic, Resistance To
Candesartan	Renal Failure, Progressive, With Hypertension
Capecitabine	Breast Cancer
Capecitabine	Colorectal Cancer; Crc
Capecitabine	Gastric Cancer
Capecitabine	Mismatch Repair Cancer Syndrome
Capecitabine	Prostate Cancer
Capecitabine	Renal Cell Carcinoma, Nonpapillary; Rcc
Captopril	Bartter Syndrome, Type 4A
Captopril	Enteropathy, Familial, With Villous Edema And Immunoglobulin G2 Deficiency
Captopril	Hydrops-Ectopic Calcification-Moth-Eaten Skeletal Dysplasia
Captopril	Hypertension, Diastolic, Resistance To
Captopril	Hypoparathyroidism, Sensorineural Deafness, And Renal Disease
Captopril	Raynaud Disease
Captopril	Renal Failure, Progressive, With Hypertension
Carbamazepine	Alopecia, Psychomotor Epilepsy, Pyorrhea, And Mental Subnormality
Carbamazepine	Dystonia 4, Torsion, Autosomal Dominant; Dyt4
Carbamazepine	Optic Atrophy, Hearing Loss, And Peripheral Neuropathy, Autosomal
Carbamazepine	Restless Legs Syndrome, Susceptibility To, 1; Rls1
Carbamazepine	Schizophrenia; Sczd
Carbamazepine	Trigeminal Neuralgia
Carbidopa	Dementia/Parkinsonism With Non-Alzheimer Amyloid Plaques
Carbidopa	Paralysis Agitans, Juvenile, Of Hunt
Carbidopa	Parkinson Disease; Pd
Carbidopa	Restless Legs Syndrome, Susceptibility To, 1; Rls1
Carboplatin	Bladder Cancer
Carboplatin	Esophageal Cancer
Carboplatin	Mismatch Repair Cancer Syndrome
Carboplatin	Osteogenic Sarcoma
Carmustine	Glioma Susceptibility 1; Glm1
Carmustine	Hodgkin Lymphoma
Carmustine	Leukemia, Chronic Lymphocytic, Susceptibility To, 2
Carmustine	Lymphoblastic Leukemia, Acute, With Lymphomatous Features; Lall
Carmustine	Mismatch Repair Cancer Syndrome
Carmustine	Myeloma, Multiple
Carmustine	Reticulum Cell Sarcoma
Carteolol	Glaucoma 1, Open Angle, A; Glc1A
Carteolol	Hypertension, Diastolic, Resistance To
Carteolol	Renal Failure, Progressive, With Hypertension
Carvedilol	Atrial Fibrillation, Familial, 3; Atfb3
Carvedilol	Hypertension, Diastolic, Resistance To
Carvedilol	Renal Failure, Progressive, With Hypertension
Cefazolin	Gallbladder Disease 1; Gbd1
Cefdinir	Asthma, Nasal Polyps, And Aspirin Intolerance
Cefdinir	Otitis Media, Susceptibility To
