Disease1,Disease2,PHENO-SIM
231200,155100,0.0
231200,273800,0.0
231200,607554,0.0
231200,171300,0.0
231200,102300,0.0
231200,137580,0.0
231200,147530,0.0
231200,601042,0.0
231200,608622,0.0
231200,161900,0.0
231200,143465,0.0
231200,144110,0.0
231200,261515,0.0
231200,276300,0.0
231200,188030,0.0
231200,148000,0.0
231200,273300,0.0
231200,236000,0.0
231200,254400,0.0
231200,114480,0.0
231200,607681,0.0
231200,239350,0.0
231200,190300,0.0
231200,600131,0.0
231200,607631,0.0
231200,604827,0.0
231200,608105,0.0
231200,208700,0.0
231200,607682,0.0
231200,300491,0.0
231200,217200,0.0
231200,607628,0.0
231200,267740,0.0
231200,208550,0.0
231200,600807,0.0
231200,151400,0.0
231200,258360,0.0
231200,109543,0.0
231200,126200,0.0
231200,603165,0.0
231200,151590,0.0
231200,133600,0.0
231200,164230,0.0
231200,167870,0.0
231200,115000,0.0
231200,134510,0.0
231200,134520,0.0
231200,134430,0.0
231200,227300,0.0
231200,134500,0.0
231200,157950,0.0
231200,254200,0.0
231200,300494,0.0
231200,181500,0.0
231200,178600,0.0
231200,247640,0.0
231200,102500,0.0
231200,215470,0.0
231200,601518,0.0
231200,311360,0.0
231200,176807,0.0
231200,192000,0.0
231200,137750,0.0
231200,145500,0.0
231200,225755,0.0
231200,608033,0.0
231200,260970,0.0
231200,225740,0.0
231200,215140,0.0
231200,256370,0.0
231200,600351,0.0
231200,203700,0.0
231200,208300,0.0
231200,137800,0.0
231200,254500,0.0
231200,540000,0.0
231200,125310,0.0
231200,601367,0.0
231200,150600,0.0
231200,166710,0.0
231200,602080,0.0
231200,167320,0.0
231200,607459,0.0
231200,208230,0.0
231200,308205,0.0
231200,106400,0.0
231200,140600,0.0
231200,607850,0.0
231200,165720,0.0
231200,252320,0.0
231200,600808,0.0
231200,600631,0.0
231200,263300,0.0
231200,144700,0.0
231200,155601,0.0
231200,155600,0.0
231200,187950,0.0
231200,182280,0.0
231200,600082,0.0
231200,200170,0.0
231200,241100,0.0
231200,109350,0.0
231200,107320,0.0
231200,157300,0.0
231200,152700,0.0
231200,191390,0.0
231200,266600,0.0
231200,179600,0.0
231200,190400,0.0
231200,160750,0.0
231200,181000,0.0
231200,601608,0.0
231200,153880,0.0
231200,233810,0.0
231200,223350,0.0
231200,166760,0.0
231200,125853,0.0
231200,125851,0.0
231200,600496,0.0
231200,125850,0.0
231200,212350,0.0
231200,212112,0.0
231200,212130,0.0
231200,208750,0.0
231200,226000,0.0
231200,246300,0.0
231200,188050,0.0
231200,146255,0.0
231200,601626,0.0
231200,208920,0.0
231200,133239,0.0
231200,246470,0.0
231200,259500,0.0
231200,231090,0.0
231200,268220,0.0
231200,114500,0.0
231200,137215,0.0
231200,109800,0.0
231200,143880,0.0
231200,166300,0.0
231200,114580,0.0
231200,212050,0.0
231200,125320,0.0
231200,168600,0.0
231200,190310,0.0
231200,168100,0.0
231200,107550,0.0
231200,226150,0.0
231200,158280,0.0
231200,256700,0.0
231200,188470,0.0
231200,211980,0.0
231200,194070,0.0
231200,600263,0.0
231200,176800,0.0
231200,184700,0.0
231200,254800,0.0
231200,102100,0.0
231200,254770,0.0
231200,605055,0.0
231200,606703,0.0
231200,277460,0.0
231200,266120,0.0
231200,230450,0.0
231200,104300,0.0
231200,231900,0.0
231200,608583,0.0
231200,608088,0.0
231200,165199,0.0
231200,247200,0.0
231200,601004,0.0
231200,138800,0.0
231200,275000,0.0
231200,140300,0.0
231200,264120,0.0
231200,303110,0.0
231200,601665,0.0
231200,147540,0.0
231200,103780,0.0
231200,601682,0.0
231200,137760,0.0
231200,131300,0.0
231200,144650,0.0
231200,144010,0.0
231200,310468,0.0
231200,115195,0.0
231200,254450,0.0
231200,248190,0.0
231200,189800,0.0
231200,174800,0.0
231200,604416,0.0
231200,146500,0.0
231200,140850,0.0
231200,110100,0.0
231200,300125,0.0
231200,157700,0.0
231200,109100,0.0
231200,277440,0.0
231200,241519,0.0
231200,182830,0.0
231200,602068,0.0
231200,300232,0.0
231200,259050,0.0
231200,165150,0.0
231200,156190,0.0
231200,104130,0.0
231200,304790,0.0
231200,146850,0.0
231200,205700,0.0
231200,607499,0.0
231200,607685,0.0
231200,131440,0.0
231200,145200,0.0
231200,145100,0.0
231200,182000,0.0
231200,277350,0.0
231200,115300,0.0
231200,173200,0.0
231200,148100,0.0
231200,608320,0.0
231200,128101,0.0
231200,607225,0.0
231200,143100,0.0
231200,189600,0.0
231200,131200,0.0
231200,121201,0.0
231200,132100,0.0
231200,132090,0.0
231200,132300,0.0
231200,212140,0.0
231200,607516,0.0
231200,607508,0.0
231200,607501,0.0
231200,607498,0.0
231200,170900,0.0
231200,175100,0.0
231200,175505,0.0
231200,135550,0.0
231200,125700,0.0
231200,304900,0.0
231200,268320,0.0
231200,103100,0.0
231200,121200,0.0
231200,237500,0.0
231200,237450,0.0
231200,218800,0.0
231200,208085,0.0
231200,608217,0.0
231200,143500,0.0
231200,133690,0.0
231200,600803,0.0
231200,602522,0.0
231200,263800,0.0
231200,246400,0.0
231200,156000,0.0
231200,160300,0.0
231200,127750,0.0
231200,102400,0.0
231200,308350,0.0
231200,605021,0.0
231200,312910,0.0
231200,113610,0.0
231200,218200,0.0
231200,250790,0.0
231200,206200,0.0
231200,240400,0.0
231200,146110,0.0
231200,230800,0.0
231200,114550,0.0
231200,145600,0.0
231200,154276,0.0
231200,217150,0.0
231200,238800,0.0
231200,107650,0.0
231200,109200,0.0
231200,260570,0.0
231200,150699,0.0
231200,175510,0.0
231200,220120,0.0
231200,192200,0.0
231200,606798,0.0
231200,137400,0.0
231200,604278,0.0
231200,179800,0.0
231200,179830,0.0
231200,606842,0.0
231200,194200,0.0
231200,125852,0.0
231200,119500,0.0
231200,600634,0.0
231200,270960,0.0
231200,260480,0.0
231200,115645,0.0
231200,147480,0.0
231200,243200,0.0
231200,278200,0.0
231200,249100,0.0
231200,181460,0.0
231200,134750,0.0
155100,273800,0.0
155100,607554,0.0
155100,171300,0.0
155100,102300,0.0
155100,137580,0.0
155100,147530,0.0
155100,601042,0.0
155100,608622,0.0
155100,161900,0.0
155100,143465,0.0
155100,144110,0.0
155100,261515,0.0
155100,276300,0.0
155100,188030,0.0
155100,148000,0.0
155100,273300,0.0
155100,236000,0.0
155100,254400,0.0
155100,114480,0.0
155100,607681,0.0
155100,239350,0.0
155100,190300,0.0
155100,600131,0.0
155100,607631,0.0
155100,604827,0.0
155100,608105,0.0
155100,208700,0.0
155100,607682,0.0
155100,300491,0.0
155100,217200,0.0
155100,607628,0.0
155100,267740,0.0
155100,208550,0.0
155100,600807,0.0
155100,151400,0.0
155100,258360,0.0
155100,109543,0.0
155100,126200,0.0
155100,603165,0.0
155100,151590,0.0
155100,133600,0.0
155100,164230,0.0
155100,167870,0.0
155100,115000,0.0
155100,134510,0.0
155100,134520,0.0
155100,134430,0.0
155100,227300,0.0
155100,134500,0.0
155100,157950,0.0
155100,254200,0.0
155100,300494,0.0
155100,181500,0.0
155100,178600,0.0
155100,247640,0.0
155100,102500,0.0
155100,215470,0.0
155100,601518,0.0
155100,311360,0.0
155100,176807,0.0
155100,192000,0.0
155100,137750,0.0
155100,145500,0.0
155100,225755,0.0
155100,608033,0.0
155100,260970,0.0
155100,225740,0.0
155100,215140,0.0
155100,256370,0.0
155100,600351,0.0
155100,203700,0.0
155100,208300,0.0
155100,137800,0.0
155100,254500,0.0
155100,540000,0.0
155100,125310,0.0
155100,601367,0.0
155100,150600,0.0
155100,166710,0.0
155100,602080,0.0
155100,167320,0.0
155100,607459,0.0
155100,208230,0.0
155100,308205,0.0
155100,106400,0.0
155100,140600,0.0
155100,607850,0.0
155100,165720,0.0
155100,252320,0.0
155100,600808,0.0
155100,600631,0.0
155100,263300,0.0
155100,144700,0.0
155100,155601,0.0
155100,155600,0.0
155100,187950,0.0
155100,182280,0.0
155100,600082,0.0
155100,200170,0.0
155100,241100,0.0
155100,109350,0.0
155100,107320,0.0
155100,157300,0.0
155100,152700,0.0
155100,191390,0.0
155100,266600,0.0
155100,179600,0.0
155100,190400,0.0
155100,160750,0.0
155100,181000,0.0
155100,601608,0.0
155100,153880,0.0
155100,233810,0.0
155100,223350,0.0
155100,166760,0.0
155100,125853,0.0
155100,125851,0.0
155100,600496,0.0
155100,125850,0.0
155100,212350,0.0
155100,212112,0.0
155100,212130,0.0
155100,208750,0.0
155100,226000,0.0
155100,246300,0.0
155100,188050,0.0
