drugid,g
DB01148,go:0007399
DB01148,go:0007186
DB01148,go:0007165
DB01148,go:0006464
DB01148,go:0008284
DB01148,go:0007205
DB01148,go:0007274
DB01148,go:0008283
DB01148,go:0007606
DB01148,go:0050890
DB01148,go:0007213
DB01148,go:0040012
DB01148,go:0007271
DB01148,go:0007197
DB01148,go:0007207
DB01148,go:0046541
DB01148,go:0007603
DB01148,go:0090316
DB01148,go:0009649
DB01148,go:0043270
DB01148,go:0009615
DB01148,go:0007188
DB01148,go:0006940
DB01148,go:0007187
DB01148,go:0008016
DB00575,go:0007186
DB00575,go:0035556
DB00575,go:0007165
DB00575,go:0006915
DB00575,go:0007568
DB00575,go:0008285
DB00575,go:0070374
DB00575,go:0007267
DB00575,go:0006939
DB00575,go:0007200
DB00575,go:0060402
DB00575,go:0043410
DB00575,go:0042493
DB00575,go:0045907
DB00575,go:0045987
DB00575,go:0009725
DB00575,go:0001994
DB00575,go:0007204
DB00575,go:0071880
DB00575,go:0045760
DB00575,go:0007202
DB00575,go:0090037
DB00575,go:0032230
DB00575,go:0060452
DB00575,go:0035024
DB00575,go:0007626
DB00575,go:0016049
DB00575,go:0007275
DB00575,go:0008283
DB00575,go:0043278
DB00575,go:0007188
DB00575,go:0007512
DB00575,go:0042593
DB00575,go:0035265
DB00575,go:0055117
DB00575,go:0001974
DB00575,go:0048148
DB00575,go:0001975
DB00575,go:0008542
DB00575,go:0045818
DB00575,go:0001996
DB00575,go:0001997
DB00575,go:0045819
DB00575,go:0001987
DB00575,go:0008284
DB00575,go:0006259
DB00575,go:0001986
DB00575,go:0007266
DB00575,go:0032870
DB00575,go:0030168
DB00575,go:0006260
DB00575,go:0007194
DB00575,go:0030036
DB00575,go:0007565
DB00575,go:0019229
DB00575,go:0045909
DB00575,go:0050892
DB00575,go:0007265
DB00575,go:0030335
DB00575,go:0032147
DB00575,go:0044281
DB00575,go:0007596
DB00575,go:0050796
DB00575,go:0043406
DB00575,go:0061179
DB00575,go:0071881
DB00575,go:0045955
DB00575,go:0030818
DB00575,go:0046676
DB00575,go:0006928
DB00575,go:0006112
DB00575,go:1901020
DB00575,go:0002526
DB00575,go:0032148
DB00575,go:0001819
DB00575,go:0045741
DB00575,go:0051044
DB00575,go:0043268
DB00575,go:0050995
DB00575,go:0050955
DB00575,go:0090303
DB00575,go:0051926
DB00575,go:0010700
DB00575,go:0032811
DB00575,go:0042596
DB00575,go:0035625
DB00575,go:0070473
DB00575,go:0071878
DB00575,go:0071882
DB00575,go:0071883
DB00575,go:0045666
DB00575,go:0006940
DB00575,go:0051930
DB00160,go:0045429
DB00160,go:0044281
DB00160,go:0034641
DB00160,go:0006206
DB00160,go:0055086
DB00160,go:0046135
DB00160,go:0046487
DB00160,go:0009436
DB00160,go:0019265
DB00160,go:0019481
DB00160,go:0006569
DB00160,go:0019441
DB00160,go:0034341
DB00160,go:0019805
DB00160,go:0034354
DB00160,go:0043420
DB00160,go:0019442
DB00160,go:0034516
DB00160,go:0097053
DB00160,go:0006461
DB00160,go:0044571
DB00160,go:0006777
DB00160,go:0000096
DB00160,go:0006766
DB00160,go:0006767
DB00160,go:0032324
DB00160,go:0018283
DB00160,go:0007269
DB00160,go:0007268
DB00160,go:0007626
DB00160,go:0032024
DB00160,go:0001666
DB00160,go:0045776
DB00160,go:0042493
DB00160,go:0045471
DB00160,go:0035094
DB00160,go:0009450
DB00160,go:0010039
DB00160,go:0042135
DB00160,go:0048148
DB00160,go:0007620
DB00160,go:0009449
DB00160,go:0031652
DB00160,go:0008652
DB00160,go:0042853
DB00160,go:0007219
DB00160,go:0051384
DB00160,go:0010498
DB00160,go:0051591
DB00160,go:0042866
DB00160,go:0019448
DB00160,go:0046724
DB00160,go:0030198
DB00160,go:0022617
DB00160,go:0030574
DB00160,go:0006554
DB00160,go:0006103
DB00160,go:0042851
DB00160,go:0055085
DB00160,go:0006810
DB00160,go:0003333
DB00160,go:0015804
DB00160,go:1902475
DB00160,go:0006520
