drugid,name
DB01148,2-(1-Piperidinyl)ethyl 3-methyl-4-oxo-2-phenyl-4H-chromene-8-carboxylate
DB01148,2-Piperidinoethyl 3-methyl-4-oxo-2-phenyl-4H-1-benzopyran-8-carboxylate
DB01148,2-Piperidinoethyl 3-methylflavone-8-carboxylate
DB01148,beta-Piperidinoethyl 3-methylflavone-8-carboxylate
DB01148,Flavoxate
DB01148,Flavoxate HCI
DB01148,Flavoxato
DB01148,Flavoxatum
DB00575,"2-[(2,6-Dichlorophenyl)imino]imidazoline"
DB00575,"2,6-Dichloro-N-2-imidazolidinylidenebenzenamine"
DB00575,Chlofazoline
DB00575,Clonidin
DB00575,Clonidina
DB00575,Clonidinum
DB00160,ALA
DB00160,(2S)-2-Aminopropanoic acid
DB00160,(S)-2-Aminopropanoic acid
DB00160,(S)-Alanine
DB00160,Alanine
DB00160,L-2-Aminopropionic acid
DB00160,L-alpha-Alanine
DB00160,L-α-alanine
DB00570,"(2alpha,2'BETA,3beta,4alpha,5beta)-vincaleukoblastine"
DB00570,Vinblastin
DB00570,Vinblastina
DB00570,Vinblastine
DB00570,Vinblastinum
DB00570,Vincaleukoblastine
DB00570,VLB
DB00909,"1,2-Benzisoxazole-3-methanesulfonamide"
DB00909,"3-(Sulfamoylmethyl)-1,2-benzisoxazole"
DB00909,Benzo[D]isoxazol-3-yl-methanesulfonamide
DB00909,Zonisamida
DB00909,Zonisamidum
DB01143,Amifostina
DB01143,Amifostine
DB01143,Amifostine Ethiofos
DB01143,Amifostinum
DB01143,Aminopropylaminoethyl Thiophosphate
DB01143,Apaetp
DB01143,Ethiofos
DB01143,Ethyol
DB01143,Gammaphos
DB01143,SAPEP
DB01143,WR-1065
DB00332,"(Endo,syn)-(+-)-3-(3-hydroxy-1-oxo-2-phenylpropoxy)-8-methyl-8-(1-methylethyl)-8-azoniabicyclo[3.2.1]octane bromide"
DB00332,"3alpha-Hydroxy-8-isopropyl-1alphah,5alphah-tropanium bromide (+-)-tropate"
DB00332,8-Isopropylnoratropine methobromide
DB00332,Bromure d'ipratropium
DB00332,Bromuro de ipratropio
DB00332,Ipratropii bromidum
DB00332,Ipratropium bromide (anhydrous)
DB00332,Ipratropium bromide anhydrous
DB00332,Ipratropiumbromid
DB00332,N-Isopropylnoratropinium bromomethylate
DB00242,"(2R,3S,5R)-5-(6-amino-2-Chloropurin-9-yl)-2-(hydroxymethyl)oxolan-3-ol"
DB00242,2-CdA
DB00242,2-Chloro-2'-deoxy-beta-adenosine
DB00242,2-Chloro-2'-deoxyadenosine
DB00242,2-chloro-6-amino-9-(2-Deoxy-beta-D-erythro-pentofuranosyl)purine
DB00242,2-chloro-Deoxyadenosine
DB00242,2-Chlorodeoxyadenosine
DB00242,2ClAdo
DB00242,Cladribina
DB00242,Cladribine
DB00242,Cladribinum
DB00242,CldAdo
DB00443,"16beta-Methyl-1,4-pregnadiene-9alpha-fluoro-11beta,17alpha,21-triol-3,20-dione"
DB00443,"16β-Methyl-1,4-pregnadiene-9α-fluoro-11β,17α,21-triol-3,20-dione"
DB00443,9-Fluoro-16beta-methylprednisolone
DB00443,9-Fluoro-16β-methylprednisolone
DB00443,9alpha-Fluoro-16beta-methylprednisolone
DB00443,9α-Fluoro-16β-methylprednisolone
DB00443,beta-Methasone alcohol
DB00443,Betadexamethasone
DB00443,Betametasona
DB00443,Betamethasone
DB00443,Betamethasonum
DB00443,Betamethasonvalerat Mikron
DB00443,Rinderon
DB00754,(+-)-3-Ethyl-5-phenylhydantoin
DB00754,"1-Ethyl-2,5-dioxo-4-phenylimidazolidine"
DB00754,"3-Ethyl-5-phenyl-2,4-imidazolidinedione"
DB00754,"3-Ethyl-5-phenyl-imidazolidine-2,4-dione"
DB00754,3-Ethyl-5-phenylhydantoin
DB00754,"3-Ethyl-5-phenylimidazolidin-2,4-dione"
DB00754,Ethotoin
DB00754,Ethotoïne
DB00754,Ethotoinum
DB00754,Etotoina
DB00176,Fluvoxamina
DB00176,Fluvoxamine
DB00176,Fluvoxaminum
DB01064,(+-)-Isoprenaline
DB01064,(+-)-Isoproterenol
DB01064,(±)-isoprenaline
DB01064,(±)-isoproterenol
DB01064,"1-(3,4-Dihydroxyphenyl)-2-(isopropylamino)ethanol"
DB01064,"1-(3,4-Dihydroxyphenyl)-2-isopropylaminoethanol"
