?drugid	?name
DB00001	"Hirudin variant-1"@en
DB00002	"Anti EGFR"@en
DB00002	"IMC-C225"@en
DB00003	"Deoxyribonuclease I"@en
DB00003	"Deoxyribonuclease-1 precursor"@en
DB00003	"DNase"@en
DB00003	"DNase I"@en
DB00003	"rhDNase"@en
DB00004	"Diphtheria toxin precursor"@en
DB00004	"DT"@en
DB00004	"NAD(+--diphthamide ADP- ribosyltransferase)"@en
DB00005	"CD120b"@en
DB00005	"p75"@en
DB00005	"p80 TNF-alpha receptor"@en
DB00005	"TNF-R2"@en
DB00005	"Tumor necrosis factor receptor 2"@en
DB00005	"Tumor necrosis factor receptor superfamily member 1B precursor"@en
DB00005	"Tumor necrosis factor receptor type II"@en
DB01281	"CTLA4-Ig"@en
DB01281	"CTLA4-IgG4m"@en
DB01281	"CTLA4Ig"@en
DB01281	"CTLA4IgG4m"@en
DB00026	"ICIL-1RA"@en
DB00026	"IL-1ra"@en
DB00026	"IL-1RN"@en
DB00026	"IL1 inhibitor"@en
DB00026	"Interleukin-1 receptor antagonist protein precursor"@en
DB00026	"IRAP"@en
DB06168	"ACZ-885"@en
DB06168	"ACZ885"@en
DB08904	"CDP870"@en
DB00531	"(+-)-Cyclophosphamide"@en
DB00531	"(RS)-Cyclophosphamide"@en
DB00531	"2-[Bis(2-chloroethylamino)]-tetrahydro-2H-1,3,2-oxazaphosphorine-2-oxide"@en
DB00531	"Bis(2-chloroethyl)phosphoramide cyclic propanolamide ester"@en
DB00531	"Ciclofosfamida"@en
DB00531	"Ciclofosfamide"@en
DB00531	"Cyclophosphamid"@en
DB00531	"Cyclophosphamide"@en
DB00531	"Cyclophosphamide anhydrous"@en
DB00531	"Cyclophosphamidum"@en
DB00531	"Cytophosphane"@en
DB00531	"Ledoxina"@en
DB00531	"N,N-Bis(2-chloroethyl)tetrahydro-2H-1,3,2-oxazaphosphorin-2-amine 2-oxide"@en
DB00065	"Ig gamma-1 chain C region"@en
DB01097	"5-Methyl-N-(4-(trifluoromethyl)phenyl)-4-isoxazolecarboxamide"@en
DB01097	"5-Methylisoxazole-4-carboxylic acid (4-trifluoromethyl)anilide"@en
DB01097	"alpha,alpha,alpha-Trifluoro-5-methyl-4-isoxazolecarboxy-P-toluidide"@en
DB01097	"Arava"@en
DB01097	"Leflunomida"@en
DB01097	"Leflunomide"@en
DB01097	"Leflunomidum"@en
DB01097	"Lefunomide"@en
DB00108	"Anti-alpha4 integrin"@en
DB00108	"Anti-VLA4"@en
DB00337	"33-Epi-chloro-33-desoxyascomycin"@en
DB00337	"Pimecrolimus"@en
DB00337	"Pimecrolimusum"@en
DB06372	"Arcalyst"@en
DB06372	"interleukin-1 (IL-1) trap"@en
DB01656	"Daliresp"@en
DB01656	"ROF"@en
DB01656	"Roflumilastum"@en
DB06273	"Atlizumab"@en
DB06273	"MRA"@en
DB06273	"RoActemra®"@en
DB08895	"Tasocitinib"@en
DB08895	"Tofacitinibum"@en
DB00072	"Ig gamma-1 chain C region"@en
DB00072	"Anti HER2"@en
DB09033	"Entyvio"@en
DB00054	"7E3"@en
DB00054	"7E3 antibody"@en
DB00054	"antiGPIIBIIIa"@en
DB00054	"C7E3"@en
DB01418	"3-(alpha-(4'-Nitrophenyl)-beta-acetylethyl)-4-hydroxycoumarin"@en
DB01418	"3-(alpha-(P-Nitrophenol)-beta-acetylethyl)-4-hydroxycoumarin"@en
DB01418	"3-(alpha-Acetonyl-4-nitrobenzyl)-4-hydroxycoumarin"@en
DB01418	"3-(alpha-Acetonyl-P-nitrobenzyl)-4-hydroxycoumarin"@en
DB01418	"3-(alpha-P-Nitrophenyl-beta-acetylethyl)-4-hydroxycoumarin"@en
DB01418	"4-Hydroxy-3-(1-(4-nitrophenyl)-3-oxobutyl)-2H-1-benzopyran-2-one"@en
DB01418	"4-Hydroxy-3-[1-(4-nitrophenyl)-3-oxobutyl]-2H-chromen-2-one"@en
DB01418	"Acenocoumarin"@en
DB01418	"Acenocoumarolum"@en
DB01418	"Acenocumarol"@en
DB01418	"Acenocumarolo"@en
DB01418	"Acenokumarin"@en
DB01418	"Nicoumalone"@en
DB01418	"Nicumalon"@en
DB01418	"Nitrophenylacetylethyl-4-hydroxycoumarine"@en
DB01418	"Nitrovarfarian"@en
DB01418	"Nitrowarfarin"@en
DB00945	"2-(ACETYLOXY)benzoic acid"@en
DB00945	"2-Acetoxybenzenecarboxylic acid"@en
DB00945	"2-Acetoxybenzoic acid"@en
DB00945	"Acetylsalicylate"@en
DB00945	"Acetylsalicylic acid"@en
DB00945	"Acetylsalicylsaeure"@en
DB00945	"Acide 2-(acetyloxy)benzoique"@en
DB00945	"Acide acétylsalicylique"@en
DB00945	"ácido acetilsalicílico"@en
DB00945	"Acidum acetylsalicylicum"@en
DB00945	"ASA"@en
DB00945	"Aspirin"@en
DB00945	"Azetylsalizylsaeure"@en
DB00945	"Azetylsalizylsäure"@en
DB00945	"Easprin"@en
DB00945	"o-acetoxybenzoic acid"@en
DB00945	"O-acetylsalicylic acid"@en
DB00945	"o-carboxyphenyl acetate"@en
DB00945	"Polopiryna"@en
DB00945	"Salicylic acid acetate"@en
DB00009	"t-PA"@en
DB00009	"t-plasminogen activator"@en
DB00009	"Tissue-type plasminogen activator precursor"@en
DB00009	"tPA"@en
DB00029	"t-plasminogen activator"@en
DB00029	"Tissue-type plasminogen activator precursor"@en
DB00029	"tPA"@en
DB00029	"t- PA"@en
DB06605	"Apixabanum"@en
DB06605	"BMS 562247-01"@en
DB06605	"BMS-562247"@en
DB06605	"BMS-562247-01"@en
DB06605	"Eliquis"@en
DB04272	"2-Hydroxytricarballylic acid"@en
DB04272	"3-Carboxy-3-hydroxypentane-1,5-dioic acid"@en
DB04272	"Citronensäure"@en
DB06695	"Dabigatran"@en
DB06695	"Ethyl 3-[[[4-[[[(hexyloxyl)carbonyl]amino]iminomethyl]phenyl]amino]methyl]-1-methyl-1H-benzimidazol-5-yl]carbonyl](pyridin-2-yl)amino] propanoate"@en
DB06695	"Pradaxa"@en
DB06779	"Daltepariininatrium"@en
DB06779	"Dalteparin sodium"@en
DB06779	"Dalteparin sodná sůl"@en
DB06779	"Dalteparin Sodyum"@en
DB06779	"Dalteparin-nátrium"@en
DB06779	"Dalteparina sódica"@en
DB06779	"Daltéparine sodique"@en
DB06779	"Dalteparinnatrium"@en
DB06779	"Dalteparino natrio druska"@en
DB06779	"Dalteparinum Natricum"@en
DB06779	"Dalteparyna sodowa"@en
DB06779	"Heparin Fragment KABI 2165"@en
DB06779	"Tedelparin"@en
DB01254	"Anh. dasatinib"@en
DB01254	"Anhydrous dasatinib"@en
DB01254	"BMS dasatinib"@en
DB01254	"BMS-354825"@en
DB01254	"Dasatinib"@en
DB01254	"Dasatinib (anh.)"@en
DB01254	"Dasatinibum"@en
DB01254	"N-(2-CHLORO-6-methylphenyl)-2-({6-[4-(2-hydroxyethyl)piperazin-1-yl]-2-methylpyrimidin-4-yl}amino)-1,3-thiazole-5-carboxamide"@en
DB01609	"Deferasiroxum"@en
DB01609	"Exjade"@en
DB01609	"ICL 670"@en
DB01609	"ICL 670a"@en
DB00304	"13-Ethyl-11-methylene-18,19-dinor-17alpha-pregn-4-en-20-yn-17-ol"@en
DB00304	"Cerazette"@en
DB00304	"Desogestrelum"@en
DB00266	"3,3'-Methylen-bis(4-hydroxy-cumarin)"@en
DB00266	"3,3'-Methylene-bis(4-hydroxycoumarine)"@en
DB00266	"3,3'-Methylenebis(4-hydroxy-1,2-benzopyrone)"@en
DB00266	"3,3'-Methylenebis(4-hydroxy-2H-1-benzopyran-2-one)"@en
DB00266	"3,3'-Methylenebis(4-hydroxycoumarin)"@en
DB00266	"bis-3,3'-(4-hydroxycoumarinyl)methane"@en
DB00266	"bis-hydroxycoumarin"@en
DB00266	"Bis(4-hydroxycoumarin-3-yl)methane"@en
DB00266	"di-(4-hydroxy-3-coumarinyl)methane"@en
DB00266	"Dicoumarol"@en
