drugid,geneid
DB01148,10846
DB01148,27115
DB01148,50940
DB01148,5136
DB01148,5137
DB01148,5138
DB01148,5139
DB01148,5140
DB01148,5141
DB01148,5142
DB01148,5143
DB01148,5144
DB01148,5150
DB01148,5151
DB01148,5153
DB01148,8622
DB00575,150
DB00575,151
DB00575,152
DB00570,10381
DB00570,10382
DB00570,10383
DB00570,203068
DB00570,347688
DB00570,347733
DB00570,7280
DB00570,81027
DB00570,84617
DB00909,6323
DB00909,6326
DB00909,6328
DB00909,6329
DB00909,6331
DB00909,6334
DB00909,6335
DB00909,8911
DB00909,8912
DB00909,8913
DB00332,1128
DB00332,1129
DB00332,1131
DB00332,1132
DB00332,1133
DB00443,2908
DB00176,6532
DB01064,153
DB01064,154
DB01064,155
DB00302,5340
DB01202,9900
DB01400,43
DB00334,3356
DB00334,3358
DB00334,3269
DB00334,146
DB00334,147
DB00334,148
DB00334,1813
DB00334,1814
DB00334,1815
DB00374,5739
DB00776,6323
DB00776,6326
DB00776,6328
DB00776,6329
DB00776,6331
DB00776,6334
DB00776,6335
DB00906,6529
DB00631,6241
DB00631,6240
DB00631,50484
DB00286,2099
DB00286,2100
DB01210,153
DB01210,154
DB01210,155
DB01210,146
DB01210,147
DB01210,148
DB00593,8911
DB00593,8912
DB00593,8913
DB00903,6557
DB00903,6558
DB01018,150
DB01018,151
DB01018,152
DB00630,2224
DB00692,146
DB00692,147
DB00692,148
DB00692,150
DB00692,151
DB00692,152
DB00586,5742
DB00586,5743
DB00540,6532
DB00540,6530
DB01005,6241
DB00773,7153
DB00773,7155
DB01128,367
DB01162,146
DB01162,147
DB01162,148
DB00549,10800
DB01185,367
DB01019,1128
DB01019,1129
DB01019,1131
DB01019,1132
DB01019,1133
DB00307,6256
DB00307,6257
DB00307,6258
DB00945,5742
DB00945,5743
DB00401,775
DB00401,776
DB00401,778
DB00401,779
DB00861,5742
DB00861,5743
DB01359,153
DB01359,154
DB01359,155
DB00697,150
DB00697,151
DB00697,152
DB01234,2908
DB00284,2548
DB00284,2595
DB00284,8972
DB00284,279
DB00284,280
DB00195,153
DB01136,146
DB01136,147
DB01136,148
DB01136,153
DB01136,154
DB01136,155
DB00491,2548
DB00491,2595
DB00491,8972
DB00952,3350
DB00952,3351
DB00952,3352
DB00952,3354
DB00952,3355
DB00289,6530
DB00519,1636
DB00563,1719
DB00563,200895
DB00695,6557
DB00695,6558
DB00695,2554
DB00695,2555
DB00695,2556
DB00695,2557
