drugid,umlsid
DB00583,C0000729
DB00583,C0000737
DB00583,C0002418
DB00583,C0002871
DB00583,C0003123
DB00583,C0003467
DB00583,C0003811
DB00583,C0004093
DB00583,C0004238
DB00583,C0004604
DB00583,C0006277
DB00583,C0007222
DB00583,C0008031
DB00583,C0009450
DB00583,C0009806
DB00583,C0010200
DB00583,C0011570
DB00583,C0011991
DB00583,C0012833
DB00583,C0013378
DB00583,C0013395
DB00583,C0013404
DB00583,C0015230
DB00583,C0015397
DB00583,C0015967
DB00583,C0017152
DB00583,C0017178
DB00583,C0018681
DB00583,C0019080
DB00583,C0020437
DB00583,C0020461
DB00583,C0020517
DB00583,C0020538
DB00583,C0020649
DB00583,C0021400
DB00583,C0023218
DB00583,C0025222
DB00583,C0026826
DB00583,C0027497
DB00583,C0030193
DB00583,C0030252
DB00583,C0030517
DB00583,C0030554
DB00583,C0031350
DB00583,C0033774
DB00583,C0035078
DB00583,C0035204
DB00583,C0035455
DB00583,C0036572
DB00583,C0037199
DB00583,C0039231
DB00583,C0042029
DB00583,C0042373
DB00583,C0042571
DB00583,C0042963
DB00583,C0043094
DB00583,C0043096
DB00583,C0085595
DB00583,C0085649
DB00583,C0151735
DB00583,C0151736
DB00583,C0152020
DB00583,C0231528
DB00583,C0426576
DB00583,C0522055
DB00583,C0546817
DB00583,C0917801
DB00583,C0947912
DB00583,C1510472
DB00650,C0002170
DB00650,C0003123
DB00650,C0009450
DB00650,C0009806
DB00650,C0011603
DB00650,C0011991
DB00650,C0015230
DB00650,C0015376
DB00650,C0015672
DB00650,C0020517
DB00650,C0023380
DB00650,C0023530
DB00650,C0027497
DB00650,C0033774
DB00650,C0036572
DB00650,C0038362
DB00650,C0040034
DB00650,C0041834
DB00650,C0042109
DB00650,C0042963
DB00650,C0043144
DB00650,C0231218
DB00650,C0340865
DB00650,C0700225
DB00650,C0746883
DB00650,C1325847
DB00650,C2609414
DB00650,C0015967
DB00650,C0039070
DB00650,C0000737
DB00650,C0004093
DB00650,C0009676
DB00650,C0013378
DB00650,C0013395
DB00650,C0013404
DB00650,C0017178
DB00650,C0037274
DB00650,C0151746
DB00650,C0232462
DB00650,C0232492
DB00650,C0232495
DB00650,C0232498
DB00650,C0242656
DB00650,C0267537
DB00650,C0424790
DB00650,C0442874
DB00917,C0000737
DB00917,C0000832
DB00917,C0002792
DB00917,C0003811
DB00917,C0003862
DB00917,C0004093
DB00917,C0004096
DB00917,C0004604
DB00917,C0006266
DB00917,C0008031
DB00917,C0010200
DB00917,C0011175
DB00917,C0011991
DB00917,C0012739
DB00917,C0012833
DB00917,C0013404
DB00917,C0013927
DB00917,C0014179
DB00917,C0015230
DB00917,C0015930
DB00917,C0015967
DB00917,C0016382
DB00917,C0018681
DB00917,C0018790
DB00917,C0018811
DB00917,C0019521
DB00917,C0020517
DB00917,C0020538
DB00917,C0020649
DB00917,C0021053
DB00917,C0021368
DB00917,C0023067
DB00917,C0023218
DB00917,C0026821
DB00917,C0026826
DB00917,C0027051
DB00917,C0027497
DB00917,C0030193
DB00917,C0030554
DB00917,C0031350
DB00917,C0032797
DB00917,C0032961
DB00917,C0036973
DB00917,C0036974
DB00917,C0039070
DB00917,C0039231
DB00917,C0040822
DB00917,C0042143
DB00917,C0042267
DB00917,C0042373
DB00917,C0042963
DB00917,C0042996
DB00917,C0043144
DB00917,C0079043
DB00917,C0080274
DB00917,C0085593
DB00917,C0151315
DB00917,C0151604
DB00917,C0151827
DB00917,C0151907
DB00917,C0231528
DB00917,C0232292
DB00917,C0233494
DB00917,C0236082
DB00917,C0262397
DB00917,C0269806
DB00917,C0269842
DB00917,C0340865
DB00917,C0344232
DB00917,C0392618
DB00917,C0410916
DB00917,C0424535
DB00917,C0558368
DB00917,C0595939
DB00917,C0600142
DB00917,C0700590
DB00917,C0851353
DB00917,C1384666
DB00917,C2004487
DB01240,C0000737
DB01240,C0002792
DB01240,C0002871
DB01240,C0003123
DB01240,C0003467
DB01240,C0003862
DB01240,C0003864
DB01240,C0003962
DB01240,C0004093
DB01240,C0004604
DB01240,C0004936
DB01240,C0007642
DB01240,C0007859
DB01240,C0008031
DB01240,C0009326
DB01240,C0009450
DB01240,C0009782
DB01240,C0009806
DB01240,C0010200
DB01240,C0010520
DB01240,C0011570
DB01240,C0011991
DB01240,C0012833
DB01240,C0013395
DB01240,C0013404
DB01240,C0013595
DB01240,C0013604
DB01240,C0014130
DB01240,C0014591
DB01240,C0015230
DB01240,C0015672
DB01240,C0015967
DB01240,C0016204
DB01240,C0016382
DB01240,C0017152
DB01240,C0017178
DB01240,C0018681
DB01240,C0018799
DB01240,C0018801
DB01240,C0018965
DB01240,C0019080
DB01240,C0019123
DB01240,C0020437
DB01240,C0020453
DB01240,C0020461
DB01240,C0020517
DB01240,C0020532
DB01240,C0020550
DB01240,C0020580
DB01240,C0020649
DB01240,C0020651
DB01240,C0023218
DB01240,C0025061
DB01240,C0026858
DB01240,C0027051
DB01240,C0027497
DB01240,C0027765
DB01240,C0027769
DB01240,C0030193
DB01240,C0030232
DB01240,C0030252
DB01240,C0030312
DB01240,C0030554
DB01240,C0031350
DB01240,C0032227
DB01240,C0032285
DB01240,C0032326
DB01240,C0033774
DB01240,C0034063
DB01240,C0034065
DB01240,C0035204
DB01240,C0035455
DB01240,C0036690
DB01240,C0036974
DB01240,C0037199
DB01240,C0037299
DB01240,C0038002
DB01240,C0038990
DB01240,C0039070
DB01240,C0039231
DB01240,C0039971
DB01240,C0040034
DB01240,C0040822
DB01240,C0042029
DB01240,C0042109
DB01240,C0042373
DB01240,C0042401
DB01240,C0042963
DB01240,C0043096
DB01240,C0043352
DB01240,C0085096
DB01240,C0085593
DB01240,C0085605
DB01240,C0085631
DB01240,C0085649
DB01240,C0086525
DB01240,C0151735
