geneid1,geneid2
8355,8367
23107,28998
7133,7316
1917,5708
1540,29110
6632,79622
4696,4717
369,7532
54460,64983
156,5294
53826,7024
25962,6627
31,5921
5347,548593
2885,5077
4670,6201
10285,55178
3310,5971
4683,571
1017,6905
54762,977
6586,823
286480,9604
1616,4629
285987,8697
154313,91544
5356,9775
10159,10868
6887,6929
10921,5917
2801,3927
11144,6386
114971,3881
23560,6137
55139,80023
56893,6256
2829,6846
10087,5573
6133,6209
3921,498
10189,10291
1457,407
1457,55814
23521,55646
2735,7531
10454,64780
56005,6449
216,84264
3315,6199
10488,27173
140901,7046
6202,9129
387032,51282
29028,4609
2968,5430
4778,5195
51253,64963
10188,3055
3739,6640
2971,55681
2670,80022
3066,7528
3306,5714
4313,6695
153527,55521
1511,718
1050,2908
4597,5264
6343,6344
1411,1411
23186,9839
114822,152015
4090,5782
10488,80222
148281,148281
22985,57703
1938,6191
29086,5987
64689,8540
8600,8792
7165,7165
5970,8850
25930,57062
127,314
7316,8661
1375,56895
23013,9785
10643,1665
6210,8883
57111,728294
57492,6921
4704,4728
2091,6217
26088,55435
3014,79035
2201,4147
10137,23145
4733,8161
10285,6632
79019,91687
3216,6943
80012,84733
57418,7083
7186,91544
6129,8335
27095,79666
2171,6790
51377,5704
4904,6201
3609,9782
6714,7529
55285,5987
10933,85403
2819,5764
342371,55249
218,51733
1756,93664
1488,29994
6138,6232
23020,26354
5885,5928
8362,8467
6483,93010
4722,54539
5327,5595
10436,8453
25915,27257
4715,51079
36,593
5133,6188
2923,3693
145226,57665
29115,8819
51116,51253
4087,658
6170,6234
5571,9891
808,815
1315,8729
1994,9533
3860,54535
5901,8668
6923,9306
10055,1545
1739,8573
6310,9757
26960,84062
3646,3837
10656,5940
1106,5062
56259,9984
10526,79084
810,84464
3679,977
124637,125965
4086,7050
5959,6017
51373,9801
10768,1602
238,4217
409,7200
10189,8559
1974,250
4224,5443
133,133
6183,65080
1019,5867
4867,4867
6129,8087
4684,8128
3308,79577
1021,896
29993,81551
6229,8971
4691,6235
64750,821
1660,51747
3312,9739
3106,5604
3007,9188
10291,9775
24144,55758
3454,5295
29110,5970
4868,7082
7203,80005
23521,6184
55145,7525
2885,3181
3875,5578
1891,51
162,273
3735,9040
8417,9341
5335,5567
8350,8520
6655,6714
51371,5689
23304,26043
5599,6464
5089,6124
51635,6203
10048,10296
257202,6649
54460,84545
1029,4175
1956,3190
5717,84966
3281,84708
1915,7114
6103,8100
2189,80233
27043,8487
10097,2885
23521,8087
11345,5521
11157,9958
4128,4129
80852,831
10989,7251
4088,4654
409,80232
266740,9702
5582,56288
51726,8664
6170,6233
634,6714
1213,5566
2534,25920
3725,7432
10643,4686
5604,7531
1051,6689
10048,4289
6132,6156
309,4904
25873,6206
409,6185
1051,6289
5609,8837
2553,576
57447,6195
23468,84787
5792,5979
51684,57333
386681,5817
2099,7068
26986,3191
203068,4311
1984,22803
6338,6339
10724,729
55684,79173
10476,516
54554,5929
6137,6146
6169,6193
3692,7083
29072,6310
3680,6303
51023,64981
1499,1956
2923,3655
35,6649
3303,5695
4929,51538
7186,9349
3304,6310
166,3182
170506,6143
51720,6498
3320,7818
5092,53353
23326,9581
1022,3516
23543,5552
57088,9319
2956,4163
10083,10083
64965,65005
1915,3178
5707,573
26292,89876
6885,7046
11331,864
1655,58509
54881,6202
10985,1201
23109,30011
10097,2017
4792,6707
26121,2801
5931,6594
147525,5987
2661,51019
10488,6342
6300,8350
54700,898
6175,6228
4048,79016
30850,7532
28988,28988
192670,5052
3615,4311
3915,4811
4790,5578
53371,9146
1080,8723
7048,9392
1832,840
1654,4691
1051,3569
4067,5921
3689,9479
23405,6950
192669,60
12,3211
6139,64969
26523,9349
5917,9641
10992,9045
57599,8661
11335,8357
4811,5549
1499,9590
5578,7137
1854,9825
3221,6663
3326,6136
147686,386675
284695,9782
10454,3313
123169,54623
10376,908
2669,57159
166,84766
55007,7597
166,367
386681,440023
3211,4211
284695,5042
314,501
79005,9240
1600,9500
2977,5146
2534,3224
10342,29965
5708,6210
284996,50628
386675,64782
6273,7169
5903,9703
6885,805
3093,6047
137209,8618
11171,79833
23107,6124
988,9939
5515,5529
29946,53826
6229,6234
24144,57187
26823,6632
10459,5987
51588,55183
29117,8355
5516,5529
55003,9513
672,7341
10989,25813
143187,8674
408,55661
29079,9969
10274,9126
127557,80321
10868,211
1950,1950
3846,8646
1439,3568
23582,90594
1915,6146
22824,6654
5831,65263
5597,8648
286826,5928
10728,3106
4836,9478
25788,64333
5356,9879
9953,9955
4830,5106
28957,64979
6159,6184
4286,7299
55660,84811
163154,51645
10488,3177
10951,4288
1642,1643
10640,149371
5885,9700
10048,4093
7022,7157
648,6749
10087,875
1665,9939
10165,6232
7704,8813
353139,8601
4306,5705
4701,4715
11338,6175
51073,54148
2965,9412
5871,6416
8500,902
1058,9212
3219,373
10250,11017
309,79577
5295,5494
57159,79794
5162,8848
1832,1832
121457,24144
388677,4184
10262,27336
29127,57630
3315,5566
23327,7332
391104,9802
6124,8335
6646,6772
6139,6193
10492,23107
3932,7846
6197,8663
6443,8082
7431,9212
1956,3861
1080,55327
22938,324
23281,57088
1387,3206
5365,5365
1936,7189
202333,23410
2515,928
10919,80854
57461,58517
10946,84991
11052,54472
1153,6426
2521,5579
10142,5568
113457,4792
6217,6323
2975,6203
2189,55120
122704,51263
10587,23054
125115,3693
23450,55954
1378,1380
6159,6161
10594,8683
11103,26354
6546,6710
59272,59272
26511,85291
51324,55122
4314,4314
6597,6773
24140,55379
4535,4536
1432,207
116541,64432
51069,740
2006,4015
100124696,1796
6235,7846
284058,84148
7568,85291
2547,6204
4155,9252
8697,991
55698,8837
10000,5894
53335,8440
2792,6010
57697,57697
386675,58191
2091,6158
54938,84101
7936,9611
1896,2014
10421,1654
25929,6636
121504,8352
23181,56658
2597,7185
4696,4715
220082,6924
1767,1974
51567,7188
29074,29093
10611,60
51380,7083
1999,6687
3921,9045
6134,6205
10376,7534
55839,91687
6194,8662
26986,6165
1488,9425
23007,257068
23199,5987
4171,79648
51434,5347
219,92483
3937,6654
6612,8454
144245,3757
10286,6627
1113,29106
867,8874
1153,55660
11004,408
25962,79948
63922,79075
3811,5578
2975,6130
1017,23367
5079,7091
115106,4105
9263,9263
10165,55705
27040,920
2289,25862
23097,9441
5437,64425
4791,6232
27316,8493
25873,6147
2252,2260
4000,64949
5516,55917
10459,56478
11244,1647
10286,84991
10524,57761
2058,6139
54464,8906
125115,54910
497661,6175
6232,7133
2309,2631
10569,57187
6208,8452
11075,7024
6386,6659
1655,6431
10725,50943
644890,79582
409,8241
1386,3456
814,9759
55705,79084
26959,7988
7358,7358
