diseaseid,hpoid
231200,hpo:0000007
231200,hpo:0002239
231200,hpo:0000132
231200,hpo:0003010
231200,hpo:0001873
231200,hpo:0000421
231200,hpo:0000979
231200,hpo:0001902
231200,hpo:0000225
231200,hpo:0006298
231200,hpo:0004846
231200,hpo:0011871
155100,hpo:0000006
155100,hpo:0000132
155100,hpo:0003010
155100,hpo:0001873
155100,hpo:0000978
155100,hpo:0000421
155100,hpo:0001902
155100,hpo:0001658
155100,hpo:0001977
155100,hpo:0040235
273800,hpo:0000007
273800,hpo:0002239
273800,hpo:0000132
273800,hpo:0003010
273800,hpo:0000978
273800,hpo:0000421
273800,hpo:0000979
273800,hpo:0003540
273800,hpo:0000225
273800,hpo:0002170
273800,hpo:0001975
273800,hpo:0031126
607554,hpo:0000006
607554,hpo:0001425
607554,hpo:0001297
607554,hpo:0005110
607554,hpo:0001649
607554,hpo:0001727
171300,hpo:0000006
171300,hpo:0000093
171300,hpo:0003072
171300,hpo:0001028
171300,hpo:0000519
171300,hpo:0000975
171300,hpo:0001635
171300,hpo:0001649
171300,hpo:0003345
171300,hpo:0003574
171300,hpo:0002666
171300,hpo:0000957
171300,hpo:0002664
171300,hpo:0001342
171300,hpo:0001920
171300,hpo:0001095
171300,hpo:0000875
102300,hpo:0000006
102300,hpo:0001425
102300,hpo:0001336
102300,hpo:0003401
102300,hpo:0100785
102300,hpo:0012452
102300,hpo:0008991
137580,hpo:0000006
137580,hpo:0007018
137580,hpo:0000718
137580,hpo:0002360
137580,hpo:0000722
137580,hpo:0000742
137580,hpo:0010529
137580,hpo:0100034
137580,hpo:0100035
147530,hpo:0000006
147530,hpo:0007021
147530,hpo:0010830
147530,hpo:0003130
601042,hpo:0000006
601042,hpo:0001258
601042,hpo:0100543
601042,hpo:0001260
601042,hpo:0001332
601042,hpo:0001347
601042,hpo:0100660
601042,hpo:0001266
601042,hpo:0007256
601042,hpo:0002315
601042,hpo:0002062
601042,hpo:0003401
601042,hpo:0002131
601042,hpo:0002076
601042,hpo:0000651
608622,hpo:0000006
608622,hpo:0005117
161900,hpo:0000006
161900,hpo:0003676
161900,hpo:0000093
161900,hpo:0003581
161900,hpo:0003259
161900,hpo:0002907
161900,hpo:0000822
161900,hpo:0000083
161900,hpo:0003774
161900,hpo:0000123
143465,hpo:0000006
143465,hpo:0007018
143465,hpo:0000752
144110,hpo:0000006
144110,hpo:0007410
261515,hpo:0000007
261515,hpo:0001171
261515,hpo:0002079
261515,hpo:0000639
261515,hpo:0000369
261515,hpo:0001250
261515,hpo:0000286
261515,hpo:0002240
261515,hpo:0001999
261515,hpo:0000239
261515,hpo:0001762
261515,hpo:0000316
261515,hpo:0000767
261515,hpo:0002119
261515,hpo:0000218
261515,hpo:0005257
261515,hpo:0002007
261515,hpo:0000582
261515,hpo:0002126
261515,hpo:0000256
261515,hpo:0000343
261515,hpo:0001263
261515,hpo:0000486
261515,hpo:0001508
261515,hpo:0003593
261515,hpo:0000107
261515,hpo:0000938
261515,hpo:0008872
261515,hpo:0000347
261515,hpo:0000762
261515,hpo:0000268
261515,hpo:0005280
261515,hpo:0000505
261515,hpo:0002750
261515,hpo:0000348
261515,hpo:0030799
261515,hpo:0001561
261515,hpo:0000278
261515,hpo:0003199
261515,hpo:0000572
261515,hpo:0002171
261515,hpo:0000550
261515,hpo:0000270
261515,hpo:0001319
261515,hpo:0001396
261515,hpo:0006872
261515,hpo:0001397
261515,hpo:0002910
261515,hpo:0007371
261515,hpo:0001408
261515,hpo:0008207
261515,hpo:0001765
261515,hpo:0002539
261515,hpo:0007266
261515,hpo:0002832
261515,hpo:0001791
261515,hpo:0007360
261515,hpo:0007058
276300,hpo:0000007
276300,hpo:0012174
276300,hpo:0001274
276300,hpo:0002665
276300,hpo:0000997
276300,hpo:0000957
276300,hpo:0001438
276300,hpo:0002885
276300,hpo:0002671
276300,hpo:0001909
276300,hpo:0001034
276300,hpo:0009592
276300,hpo:0002888
276300,hpo:0002859
276300,hpo:0003006
188030,hpo:0000006
188030,hpo:0001873
188030,hpo:0001892
188030,hpo:0003454
148000,hpo:0000006
148000,hpo:0000969
148000,hpo:0001034
148000,hpo:0100242
273300,hpo:0000028
273300,hpo:0003745
273300,hpo:0001939
273300,hpo:0001428
273300,hpo:0000027
273300,hpo:0030731
273300,hpo:0000133
273300,hpo:0009792
273300,hpo:0100768
236000,hpo:0000007
236000,hpo:0012189
236000,hpo:0003347
236000,hpo:0003459
254400,hpo:0000989
254400,hpo:0002665
254400,hpo:0000964
254400,hpo:0003765
254400,hpo:0002716
254400,hpo:0010783
254400,hpo:0008069
254400,hpo:0200035
114480,hpo:0000006
114480,hpo:0001425
114480,hpo:0001428
114480,hpo:0003002
607681,hpo:0000006
607681,hpo:0002069
607681,hpo:0001425
607681,hpo:0002121
607681,hpo:0011463
607681,hpo:0002373
607681,hpo:0002392
607681,hpo:0010849
239350,hpo:0001945
239350,hpo:0000007
239350,hpo:0001250
239350,hpo:0000103
239350,hpo:0002013
239350,hpo:0002014
239350,hpo:0000737
239350,hpo:0002905
239350,hpo:0001281
239350,hpo:0001608
239350,hpo:0025430
190300,hpo:0000006
190300,hpo:0003676
190300,hpo:0001260
190300,hpo:0002378
190300,hpo:0002174
600131,hpo:0000006
600131,hpo:0002069
600131,hpo:0001425
600131,hpo:0002121
600131,hpo:0011463
600131,hpo:0002373
600131,hpo:0002392
600131,hpo:0010849
607631,hpo:0000006
607631,hpo:0002123
607631,hpo:0002121
607631,hpo:0007193
607631,hpo:0010849
604827,hpo:0000007
604827,hpo:0002069
604827,hpo:0001336
608105,hpo:0000007
608105,hpo:0003593
608105,hpo:0000666
608105,hpo:0002356
608105,hpo:0002268
608105,hpo:0007332
608105,hpo:0007104
208700,hpo:0000007
208700,hpo:0001250
208700,hpo:0001251
208700,hpo:0001336
208700,hpo:0002123
208700,hpo:0000726
208700,hpo:0001271
607682,hpo:0000006
607682,hpo:0001425
607682,hpo:0003621
607682,hpo:0002121
607682,hpo:0007000
607682,hpo:0002392
607682,hpo:0007193
300491,hpo:0001328
300491,hpo:0001419
300491,hpo:0000256
300491,hpo:0000718
300491,hpo:0007359
300491,hpo:0001423
300491,hpo:0000729
217200,hpo:0000007
217200,hpo:0001250
217200,hpo:0001249
217200,hpo:0001336
217200,hpo:0001522
607628,hpo:0000006
607628,hpo:0002123
607628,hpo:0002121
607628,hpo:0007193
267740,hpo:0000007
267740,hpo:0001250
267740,hpo:0000546
210050,hpo:0000007
210050,hpo:0001250
210050,hpo:0004322
210050,hpo:0001263
210050,hpo:0001399
210050,hpo:0001394
210050,hpo:0001409
210050,hpo:0007029
210050,hpo:0002097
210050,hpo:0007238
208550,hpo:0000007
208550,hpo:0002099
208550,hpo:0100582
208550,hpo:0012042
600807,hpo:0000006
600807,hpo:0002099
600807,hpo:0001426
