?diseaseid	?hpoid
"100050"	"0000028"
"100050"	"0000049"
"100050"	"0000175"
"100050"	"0000202"
"100050"	"0000204"
"100050"	"0000316"
"100050"	"0000327"
"100050"	"0000343"
"100050"	"0000349"
"100050"	"0000394"
"100050"	"0000431"
"100050"	"0000463"
"100050"	"0000484"
"100050"	"0000486"
"100050"	"0000494"
"100050"	"0000508"
"100050"	"0000602"
"100050"	"0000765"
"100050"	"0000954"
"100050"	"0000974"
"100050"	"0001004"
"100050"	"0001156"
"100050"	"0001159"
"100050"	"0001371"
"100050"	"0001388"
"100050"	"0001394"
"100050"	"0001417"
"100050"	"0001470"
"100050"	"0001763"
"100050"	"0001972"
"100050"	"0002023"
"100050"	"0002055"
"100050"	"0002240"
"100050"	"0002816"
"100050"	"0003318"
"100050"	"0003502"
"100050"	"0004792"
"100050"	"0005190"
"100050"	"0006530"
"100050"	"0009466"
"100050"	"0010886"
"100050"	"0030084"
"100070"	"0005112"
"100100"	"0000028"
"100100"	"0002023"
"100100"	"0000007"
"100100"	"0000072"
"100100"	"0000126"
"100100"	"0000217"
"100100"	"0000767"
"100100"	"0000768"
"100100"	"0000951"
"100100"	"0001374"
"100100"	"0001562"
"100100"	"0001627"
"100100"	"0001643"
"100100"	"0001762"
"100100"	"0004392"
"100100"	"0005199"
"100100"	"0010957"
"100200"	"0000486"
"100200"	"0000006"
"100200"	"0011349"
"100300"	"0000175"
"100300"	"0000204"
"100300"	"0001156"
"100300"	"0001762"
"100300"	"0000006"
"100300"	"0000252"
"100300"	"0000565"
"100300"	"0000568"
"100300"	"0000822"
"100300"	"0000965"
"100300"	"0001249"
"100300"	"0001250"
"100300"	"0001252"
"100300"	"0001263"
"100300"	"0001290"
"100300"	"0001302"
"100300"	"0001362"
"100300"	"0001596"
"100300"	"0001629"
"100300"	"0001631"
"100300"	"0001636"
"100300"	"0001642"
"100300"	"0001647"
"100300"	"0001650"
"100300"	"0001770"
"100300"	"0001792"
"100300"	"0002079"
"100300"	"0002084"
"100300"	"0002092"
"100300"	"0002119"
"100300"	"0002126"
"100300"	"0002539"
"100300"	"0002558"
"100300"	"0003812"
"100300"	"0004383"
"100300"	"0004415"
"100300"	"0006970"
"100300"	"0007589"
"100300"	"0007590"
"100300"	"0030011"
"100600"	"0000006"
"100600"	"0000956"
"100650"	"0000006"
"100650"	"0001033"
"100650"	"0003533"
"100675"	"0000006"
"100675"	"0000952"
"100700"	"0001388"
"100700"	"0000006"
"100700"	"0000248"
"100700"	"0000347"
"100700"	"0001166"
"100700"	"0002682"
"100800"	"0001156"
"100800"	"0000006"
"100800"	"0000238"
"100800"	"0000272"
"100800"	"0000403"
"100800"	"0000405"
"100800"	"0001270"
"100800"	"0001355"
"100800"	"0001377"
"100800"	"0002007"
"100800"	"0002512"
"100800"	"0002677"
"100800"	"0002761"
"100800"	"0002781"
"100800"	"0002938"
"100800"	"0002970"
"100800"	"0003015"
"100800"	"0003093"
"100800"	"0004060"
"100800"	"0005280"
"100800"	"0005733"
"100800"	"0008414"
"100800"	"0008905"
"100800"	"0008921"
"100800"	"0008947"
"100800"	"0011800"
"100800"	"0100864"
"100820"	"0000006"
"100820"	"0025096"
"101000"	"0000006"
"101000"	"0001250"
"101000"	"0000360"
"101000"	"0000365"
"101000"	"0000957"
"101000"	"0001251"
"101000"	"0002315"
"101000"	"0002321"
"101000"	"0002858"
"101000"	"0002888"
"101000"	"0007935"
"101000"	"0009589"
"101000"	"0009590"
"101000"	"0009592"
"101000"	"0009593"
"101000"	"0009594"
"101000"	"0009595"
"101000"	"0009830"
"101000"	"0100014"
"101000"	"0100019"
"101120"	"0000316"
"101120"	"0000327"
"101120"	"0001159"
"101120"	"0000006"
"101120"	"0000272"
"101120"	"0000263"
"101120"	"0000274"
"101120"	"0000303"
"101120"	"0000369"
"101120"	"0000377"
"101120"	"0000470"
"101120"	"0000586"
"101120"	"0000678"
"101120"	"0001177"
"101120"	"0001363"
"101120"	"0009816"
"101120"	"0010055"
"101120"	"0011304"
"101120"	"0012368"
"101200"	"0000028"
"101200"	"0000175"
"101200"	"0000316"
"101200"	"0000486"
"101200"	"0000494"
"101200"	"0000126"
"101200"	"0000006"
"101200"	"0001249"
"101200"	"0001629"
"101200"	"0002119"
"101200"	"0000238"
"101200"	"0000272"
"101200"	"0001355"
"101200"	"0005280"
"101200"	"0011800"
"101200"	"0000365"
"101200"	"0000303"
"101200"	"0000586"
"101200"	"0001177"
"101200"	"0012368"
"101200"	"0000148"
"101200"	"0000189"
"101200"	"0000193"
"101200"	"0000239"
"101200"	"0000244"
"101200"	"0000270"
"101200"	"0000337"
"101200"	"0000348"
"101200"	"0000389"
"101200"	"0000452"
"101200"	"0000453"
"101200"	"0000684"
"101200"	"0000689"
"101200"	"0001061"
"101200"	"0001162"
"101200"	"0001274"
"101200"	"0001331"
"101200"	"0001507"
"101200"	"0002021"
"101200"	"0002032"
"101200"	"0002623"
"101200"	"0003041"
"101200"	"0004397"
"101200"	"0004440"
"101200"	"0004468"
"101200"	"0004487"
