diseaseid,hpoid
231200,mesh:D000328
231200,mesh:D016133
231200,mesh:D003241
231200,mesh:D008969
231200,mesh:D000595
231200,mesh:D005192
231200,mesh:D006801
231200,mesh:D010641
231200,mesh:D001483
231200,mesh:D015152
231200,mesh:D015153
231200,mesh:D005838
231200,mesh:D004195
231200,mesh:D000293
231200,mesh:D015183
231200,mesh:D010375
231200,mesh:D011487
231200,mesh:D015139
231200,mesh:D003001
231200,mesh:D001921
231200,mesh:D000818
231200,mesh:D008875
231200,mesh:D000368
231200,mesh:D051379
231200,mesh:D008040
231200,mesh:D014157
231200,mesh:D015398
231200,mesh:D008214
231200,mesh:D009154
231200,mesh:D001323
231200,mesh:D002648
231200,mesh:D013921
231200,mesh:D002893
231200,mesh:D015345
231200,mesh:D000483
231200,mesh:D004247
231200,mesh:D006580
231200,mesh:D017354
231200,mesh:D006056
231200,mesh:D008822
231200,mesh:D025063
231200,mesh:D012091
231200,mesh:D002869
231200,mesh:D001665
231200,mesh:D005796
231200,mesh:D018345
231200,mesh:D012333
231200,mesh:D013997
231200,mesh:D007438
231200,mesh:D006487
231200,mesh:D001791
231200,mesh:D000911
231200,mesh:D015870
231200,mesh:D046911
231200,mesh:D008854
231200,mesh:D007122
231200,mesh:D008970
231200,mesh:D007120
231200,mesh:D015342
231200,mesh:D011401
231200,mesh:D013577
231200,mesh:D012867
231200,mesh:D014162
231200,mesh:D009838
231200,mesh:D017353
231200,mesh:D004586
231200,mesh:D001798
231200,mesh:D005434
231200,mesh:D001803
231200,mesh:D005826
231200,mesh:D001779
231200,mesh:D006023
231200,mesh:D010976
231200,mesh:D007123
231200,mesh:D004721
231200,mesh:D013156
231200,mesh:D004268
231200,mesh:D016297
231200,mesh:D001792
231200,mesh:D004591
231200,mesh:D001780
231200,mesh:D012150
231200,mesh:D001772
231200,mesh:D002417
231200,mesh:D008565
231200,mesh:D014357
231200,mesh:D001778
231200,mesh:D050982
231200,mesh:D002462
231200,mesh:D005169
231200,mesh:D001345
231200,mesh:D005269
231200,mesh:D000906
231200,mesh:D005340
231200,mesh:D011232
231200,mesh:D001777
231200,mesh:D008807
231200,mesh:D002465
231200,mesh:D003553
231200,mesh:D019038
231200,mesh:D007074
231200,mesh:D010974
231200,mesh:D000918
231200,mesh:D008055
231200,mesh:D007457
231200,mesh:D010980
231200,mesh:D011802
231200,mesh:D012794
231200,mesh:D018797
231200,mesh:D046529
231200,mesh:D002850
231200,mesh:D010973
231200,mesh:D003902
231200,mesh:D015500
231200,mesh:D008858
231200,mesh:D010743
231200,mesh:D009438
231200,mesh:D008533
231200,mesh:D003435
231200,mesh:D001606
231200,mesh:D014841
231200,mesh:D004202
231200,mesh:D002918
231200,mesh:D004727
231200,mesh:D012310
231200,mesh:D003018
231200,mesh:D013623
231200,mesh:D014842
231200,mesh:D050981
231200,mesh:D011696
231200,mesh:D015539
231200,mesh:D013514
231200,mesh:D058112
231200,mesh:D003894
231200,mesh:D001431
231200,mesh:D001291
231200,mesh:D011803
231200,mesh:D016375
231200,mesh:D001666
231200,mesh:D001760
231200,mesh:D005932
231200,mesh:D002722
231200,mesh:D006582
231200,mesh:D001645
231200,mesh:D011206
155100,mesh:D000328
155100,mesh:D005091
155100,mesh:D007558
155100,mesh:D008969
155100,mesh:D007223
155100,mesh:D000595
155100,mesh:D005192
155100,mesh:D002784
155100,mesh:D002874
155100,mesh:D006801
155100,mesh:D010641
155100,mesh:D001483
155100,mesh:D018895
155100,mesh:D005819
155100,mesh:D005838
155100,mesh:D000293
155100,mesh:D011110
155100,mesh:D007150
155100,mesh:D010375
155100,mesh:D011487
155100,mesh:D008958
155100,mesh:D000818
155100,mesh:D008875
155100,mesh:D000368
155100,mesh:D005799
155100,mesh:D004252
155100,mesh:D008040
155100,mesh:D009154
155100,mesh:D006239
155100,mesh:D002675
155100,mesh:D002648
155100,mesh:D020125
155100,mesh:D013921
155100,mesh:D017434
155100,mesh:D002892
155100,mesh:D012984
155100,mesh:D000483
155100,mesh:D007676
155100,mesh:D017354
155100,mesh:D008126
155100,mesh:D002386
155100,mesh:D003937
155100,mesh:D003094
155100,mesh:D001791
155100,mesh:D008854
155100,mesh:D001853
155100,mesh:D020080
155100,mesh:D020133
155100,mesh:D013577
155100,mesh:D009393
155100,mesh:D030342
155100,mesh:D002634
155100,mesh:D009130
155100,mesh:D017386
155100,mesh:D017124
155100,mesh:D005826
155100,mesh:D003594
155100,mesh:D010976
155100,mesh:D006417
155100,mesh:D001792
155100,mesh:D011507
155100,mesh:D001780
155100,mesh:D012150
155100,mesh:D002860
155100,mesh:D014443
155100,mesh:D015419
155100,mesh:D018360
155100,mesh:D009218
155100,mesh:D007962
155100,mesh:D007700
155100,mesh:D002479
155100,mesh:D004837
155100,mesh:D009504
155100,mesh:D018995
155100,mesh:D011517
155100,mesh:D001854
155100,mesh:D002465
155100,mesh:D003553
155100,mesh:D006319
155100,mesh:D019038
155100,mesh:D010974
155100,mesh:D003593
155100,mesh:D006402
155100,mesh:D000244
155100,mesh:D001491
155100,mesh:D003167
155100,mesh:D002645
155100,mesh:D010973
155100,mesh:D006098
155100,mesh:D004804
155100,mesh:D010743
155100,mesh:D008533
155100,mesh:D003435
155100,mesh:D002364
155100,mesh:D014841
155100,mesh:D012310
155100,mesh:D020409
155100,mesh:D024507
155100,mesh:D016553
155100,mesh:D006405
155100,mesh:D002449
155100,mesh:D001760
273800,mesh:D005998
273800,mesh:D000328
273800,mesh:D005091
273800,mesh:D016133
273800,mesh:D003241
273800,mesh:D008969
273800,mesh:D007223
273800,mesh:D000595
273800,mesh:D006579
273800,mesh:D006801
273800,mesh:D017384
273800,mesh:D001483
273800,mesh:D017931
273800,mesh:D015153
273800,mesh:D005838
273800,mesh:D016466
273800,mesh:D012326
273800,mesh:D000293
273800,mesh:D011110
273800,mesh:D002872
273800,mesh:D011485
273800,mesh:D010375
273800,mesh:D015139
273800,mesh:D014314
273800,mesh:D008958
273800,mesh:D011994
273800,mesh:D000818
273800,mesh:D011296
273800,mesh:D011499
273800,mesh:D051379
273800,mesh:D019943
273800,mesh:D004252
273800,mesh:D015995
273800,mesh:D008040
273800,mesh:D015398
273800,mesh:D009154
273800,mesh:D006239
273800,mesh:D002522
273800,mesh:D012016
273800,mesh:D002675
273800,mesh:D002648
273800,mesh:D005779
273800,mesh:D002118
273800,mesh:D020125
273800,mesh:D013921
