?diseaseid	?meshid
"233810"	D000015
"233810"	D002675
"233810"	D005808
"233810"	D006801
"233810"	D013577
"233810"	D003241
"233810"	D008607
"233810"	D009123
"233810"	D017880
"233810"	D061085
"233810"	D014071
"233810"	D002658
"233810"	D004485
"603165"	D000293
"603165"	D000328
"603165"	D002648
"603165"	D002675
"603165"	D006801
"603165"	D000818
"603165"	D001483
"603165"	D002877
"603165"	D002894
"603165"	D003094
"603165"	D005787
"603165"	D005838
"603165"	D008040
"603165"	D008126
"603165"	D009679
"603165"	D010641
"603165"	D012307
"603165"	D012333
"603165"	D012867
"603165"	D013548
"603165"	D014644
"603165"	D016022
"603165"	D018895
"603165"	D020022
"603165"	D020641
"603165"	D002874
"603165"	D004431
"603165"	D005500
"603165"	D007223
"603165"	D007231
"603165"	D040582
"603165"	D005192
"603165"	D006976
"603165"	D012871
"603165"	D012878
"603165"	D004247
"603165"	D005819
"603165"	D008969
"603165"	D014018
"603165"	D002886
"603165"	D009030
"603165"	D011795
"603165"	D012756
"603165"	D015995
"603165"	D018392
"603165"	D019943
"603165"	D035781
"603165"	D006113
"603165"	D006967
"603165"	D017668
"603165"	D019656
"603165"	D020869
"603165"	D002887
"603165"	D002889
"603165"	D002893
"603165"	D002895
"603165"	D007642
"603165"	D019556
"603165"	D010859
"603165"	D002880
"603165"	D002883
"603165"	D002884
"603165"	D002896
"603165"	D002882
"603165"	D001327
"603165"	D007074
"603165"	D013601
"603165"	D014182
"603165"	D004485
"603165"	D001323
"603165"	D003550
"603165"	D005858
"603165"	D008648
"603165"	D009532
"603165"	D001249
"603165"	D014820
"603165"	D003198
"603165"	D015853
"603165"	D015891
"603165"	D008010
"603165"	D002522
"603165"	D011565
"603165"	D009506
"603165"	D016038
"603165"	D020871
"603165"	D003713
"603165"	D008171
"603165"	D003876
"603165"	D007073
"603165"	D012594
"603165"	D004475
"603165"	D013211
"603165"	D006255
"603165"	D012923
"603165"	D014019
"603165"	D001942
"603165"	D006969
"603165"	D024142
"603165"	D009450
"603165"	D012123
"603165"	D016040
"603165"	D039981
"603165"	D011677
"603165"	D055312
"152700"	D000015
"152700"	D000293
"152700"	D000328
"152700"	D002648
"152700"	D002675
"152700"	D005532
"152700"	D005799
"152700"	D005808
"152700"	D006228
"152700"	D006579
"152700"	D006801
"152700"	D008875
"152700"	D010375
"152700"	D013577
"152700"	D000367
"152700"	D000368
"152700"	D000369
"152700"	D000483
"152700"	D000818
"152700"	D001483
"152700"	D002478
"152700"	D002877
"152700"	D002894
"152700"	D004195
"152700"	D004198
"152700"	D004200
"152700"	D005190
"152700"	D005387
"152700"	D005434
"152700"	D005786
"152700"	D005787
"152700"	D005822
"152700"	D005838
"152700"	D008040
"152700"	D008126
"152700"	D008957
"152700"	D009426
"152700"	D009679
"152700"	D010641
"152700"	D011110
"152700"	D011247
"152700"	D011401
"152700"	D011446
"152700"	D012189
"152700"	D012306
"152700"	D012307
"152700"	D012333
"152700"	D012737
"152700"	D012867
"152700"	D013548
"152700"	D013997
"152700"	D014430
"152700"	D014644
"152700"	D015331
"152700"	D015810
"152700"	D015994
"152700"	D016022
"152700"	D016133
"152700"	D016207
"152700"	D017346
"152700"	D017931
"152700"	D018076
"152700"	D018740
"152700"	D018895
"152700"	D020022
"152700"	D020133
"152700"	D020641
"152700"	D044383
"152700"	D044465
"152700"	D051379
"152700"	D002874
"152700"	D003241
"152700"	D003937
"152700"	D005500
"152700"	D005826
"152700"	D007223
"152700"	D007231
"152700"	D007668
"152700"	D008958
"152700"	D009154
"152700"	D011379
"152700"	D014157
"152700"	D016368
"152700"	D018345
"152700"	D040582
"152700"	D004252
"152700"	D004827
"152700"	D005192
"152700"	D005385
"152700"	D006367
"152700"	D008168
"152700"	D012871
"152700"	D014034
"152700"	D015398
"152700"	D001706
"152700"	D011485
"152700"	D012313
"152700"	D000595
"152700"	D000906
"152700"	D001402
"152700"	D001665
"152700"	D001741
"152700"	D002460
"152700"	D002470
"152700"	D002681
"152700"	D004247
"152700"	D004789
"152700"	D005006
"152700"	D005091
"152700"	D005796
"152700"	D005819
"152700"	D005820
"152700"	D005828
"152700"	D006239
"152700"	D006720
"152700"	D006822
"152700"	D007198
"152700"	D007525
"152700"	D007527
"152700"	D007564
"152700"	D008810
"152700"	D008815
"152700"	D008969
"152700"	D009693
"152700"	D010766
"152700"	D011994
"152700"	D011995
"152700"	D012016
"152700"	D012044
"152700"	D014158
"152700"	D014162
"152700"	D016015
"152700"	D016017
"152700"	D017353
"152700"	D019540
"152700"	D020080
"152700"	D044466
"152700"	D044469
"152700"	D046911
"152700"	D051381
"152700"	D008722
"152700"	D000911
"152700"	D002454
"152700"	D002455
"152700"	D002806
"152700"	D002878
"152700"	D003095
"152700"	D004843
"152700"	D005602
"152700"	D006023
"152700"	D007438
"152700"	D008807
"152700"	D008822
"152700"	D008954
"152700"	D010290
"152700"	D011248
"152700"	D011505
"152700"	D011795
"152700"	D012008
"152700"	D012150
"152700"	D012720
"152700"	D013030
"152700"	D013921
"152700"	D013961
"152700"	D014429
"152700"	D015203
"152700"	D015870
"152700"	D015995
"152700"	D016001
"152700"	D016009
"152700"	D017422
"152700"	D019943
"152700"	D020125
"152700"	D035781
"152700"	D004644
"152700"	D006113
"152700"	D006967
"152700"	D013472
"152700"	D008214
"152700"	D008565
"152700"	D009363
"152700"	D011863
"152700"	D015183
"152700"	D015850
"152700"	D017384
"152700"	D017398
"152700"	D018450
"152700"	D018807
"152700"	D002140
"152700"	D002908
"152700"	D007136
"152700"	D012326
"152700"	D015854
"152700"	D020794
"152700"	D002889
"152700"	D002893
"152700"	D002895
"152700"	D008817
"152700"	D009687
"152700"	D003062
"152700"	D017434
"152700"	D006680
"152700"	D007145
"152700"	D019556
"152700"	D002352
"152700"	D002880
"152700"	D004268
"152700"	D004791
"152700"	D008970
"152700"	D011956
"152700"	D017678
"152700"	D018703
"152700"	D020411
"152700"	D047908
"152700"	D001168
"152700"	D002896
"152700"	D009419
"152700"	D009422
"152700"	D009474
"152700"	D012097
"152700"	D012739
"152700"	D018398
"152700"	D018709
"152700"	D005455
"152700"	D011928
"152700"	D007592
"152700"	D007674
"152700"	D000022
"152700"	D002467
"152700"	D002843
"152700"	D010450
"152700"	D016415
"152700"	D020033
"152700"	D002882
"152700"	D000354
"152700"	D000917
"152700"	D000943
"152700"	D000945
"152700"	D001327
"152700"	D002885
"152700"	D003165
"152700"	D003208
"152700"	D003429
"152700"	D004248
"152700"	D005719
"152700"	D006386
"152700"	D006706
"152700"	D006968
"152700"	D007070
"152700"	D007074
"152700"	D007075
"152700"	D007153
"152700"	D007167
"152700"	D007376
"152700"	D007694
"152700"	D007959
"152700"	D008213
"152700"	D008231
"152700"	D009000
"152700"	D009518
"152700"	D011487
