?drugid	?omimid
DB00337	omim:233810
DB00337	omim:603165
DB00945	omim:152700
DB00945	omim:140600
DB00945	omim:147530
DB00945	omim:165720
DB00945	omim:208230
DB00945	omim:607459
DB00945	omim:607850
DB00945	omim:145590
DB00945	omim:601367
DB00945	omim:157300
DB00945	omim:125310
DB00945	omim:150600
DB00945	omim:107320
DB04272	omim:310468
DB04272	omim:179800
DB04272	omim:179830
DB04272	omim:604278
DB01254	omim:276300
DB01254	omim:247640
DB01254	omim:223350
DB00304	omim:184700
DB00304	omim:131200
DB00304	omim:192000
DB01225	omim:188050
DB01225	omim:155100
DB01225	omim:231200
DB01225	omim:273800
DB00569	omim:188050
DB01109	omim:601367
DB01109	omim:125310
DB01109	omim:540000
DB00686	omim:147530
DB00396	omim:217200
DB00374	omim:161900
DB00374	omim:178600
DB00163	omim:277460
DB00163	omim:104300
DB00163	omim:125320
DB00163	omim:200170
DB00163	omim:230450
DB00163	omim:231900
DB00163	omim:266120
DB00163	omim:605055
DB00163	omim:606703
DB00682	omim:601367
DB00682	omim:607554
DB00682	omim:608583
DB00682	omim:125310
DB00682	omim:107320
DB00682	omim:540000
DB00007	omim:131200
DB00007	omim:150699
DB00007	omim:175510
DB00007	omim:176807
DB00007	omim:600082
DB00007	omim:601518
DB00007	omim:604416
DB00414	omim:125850
DB00414	omim:125851
DB00414	omim:125853
DB00414	omim:600496
DB00672	omim:125850
DB00672	omim:125851
DB00672	omim:125853
DB00672	omim:600496
DB01120	omim:125853
DB00222	omim:125850
DB00222	omim:125851
DB00222	omim:125853
DB00222	omim:600496
DB01016	omim:125850
DB01016	omim:125851
DB01016	omim:125853
DB01016	omim:600496
DB00331	omim:184700
DB00331	omim:125850
DB00331	omim:125851
DB00331	omim:125853
DB00331	omim:600496
DB00331	omim:176800
DB00912	omim:125850
DB00912	omim:125851
DB00912	omim:125853
DB00912	omim:600496
DB01124	omim:125850
DB01124	omim:125851
DB01124	omim:125853
DB01124	omim:600496
DB00363	omim:181500
DB00333	omim:147530
DB00697	omim:200170
DB00697	omim:190400
DB00697	omim:601042
DB00697	omim:157300
DB00697	omim:160750
DB00278	omim:188050
DB01294	omim:600263
DB00215	omim:225740
DB00215	omim:225755
DB00215	omim:260970
DB00215	omim:608033
DB00215	omim:164230
DB00215	omim:167870
DB00215	omim:103780
DB00215	omim:131300
DB00215	omim:182830
DB00758	omim:601367
DB00758	omim:125310
DB00758	omim:540000
DB00586	omim:140600
DB00586	omim:147530
DB00586	omim:165720
DB00586	omim:208230
DB00586	omim:607459
DB00586	omim:607850
DB00586	omim:106400
DB00586	omim:308205
DB00586	omim:150600
DB00861	omim:140600
DB00861	omim:147530
DB00861	omim:165720
DB00861	omim:208230
DB00861	omim:607459
DB00861	omim:607850
DB01551	omim:608088
DB00975	omim:601367
DB00476	omim:147530
DB00476	omim:165199
DB01240	omim:161900
DB01240	omim:178600
DB01240	omim:188030
DB01175	omim:164230
DB00749	omim:140600
DB00749	omim:147530
DB00749	omim:165720
DB00749	omim:208230
DB00749	omim:607459
DB00749	omim:607850
DB00573	omim:140600
DB00573	omim:147530
DB00573	omim:165720
DB00573	omim:208230
DB00573	omim:607459
DB00573	omim:607850
DB00472	omim:164230
DB00472	omim:167870
DB00472	omim:252320
DB00472	omim:131300
DB00472	omim:181500
DB00472	omim:607499
DB00712	omim:153880
DB00712	omim:140600
DB00712	omim:165720
DB00712	omim:208230
DB00712	omim:607459
DB00712	omim:607850
DB00712	omim:103100
DB00176	omim:164230
DB00176	omim:167870
DB01050	omim:140600
DB01050	omim:147530
DB01050	omim:165720
