"drugid"	"g"
"DB00001"	"go:0001934"
"DB00001"	"go:0006508"
"DB00001"	"go:0006953"
"DB00001"	"go:0007166"
"DB00001"	"go:0007275"
"DB00001"	"go:0007596"
"DB00001"	"go:0007597"
"DB00001"	"go:0008284"
"DB00001"	"go:0008360"
"DB00001"	"go:0009611"
"DB00001"	"go:0010468"
"DB00001"	"go:0010544"
"DB00001"	"go:0014068"
"DB00001"	"go:0014854"
"DB00001"	"go:0017187"
"DB00001"	"go:0030168"
"DB00001"	"go:0030193"
"DB00001"	"go:0030194"
"DB00001"	"go:0030307"
"DB00001"	"go:0032967"
"DB00001"	"go:0042730"
"DB00001"	"go:0043687"
"DB00001"	"go:0044267"
"DB00001"	"go:0045861"
"DB00001"	"go:0048712"
"DB00001"	"go:0050900"
"DB00001"	"go:0051281"
"DB00001"	"go:0051480"
"DB00001"	"go:0051918"
"DB00001"	"go:0071260"
"DB00001"	"go:1900738"
"DB00001"	"go:2000379"
"DB00002"	"go:0002230"
"DB00002"	"go:0006955"
"DB00002"	"go:0098792"
"DB00002"	"go:0098779"
"DB00002"	"go:0000165"
"DB00002"	"go:0000186"
"DB00002"	"go:0001503"
"DB00002"	"go:0001892"
"DB00002"	"go:0001934"
"DB00002"	"go:0001942"
"DB00002"	"go:0006950"
"DB00002"	"go:0007165"
"DB00002"	"go:0007166"
"DB00002"	"go:0007173"
"DB00002"	"go:0007202"
"DB00002"	"go:0007264"
"DB00002"	"go:0007265"
"DB00002"	"go:0007411"
"DB00002"	"go:0007435"
"DB00002"	"go:0007611"
"DB00002"	"go:0008283"
"DB00002"	"go:0008284"
"DB00002"	"go:0008286"
"DB00002"	"go:0008543"
"DB00002"	"go:0016337"
"DB00002"	"go:0018108"
"DB00002"	"go:0021795"
"DB00002"	"go:0030335"
"DB00002"	"go:0031659"
"DB00002"	"go:0035413"
"DB00002"	"go:0038095"
"DB00002"	"go:0042059"
"DB00002"	"go:0042177"
"DB00002"	"go:0042327"
"DB00002"	"go:0043006"
"DB00002"	"go:0043066"
"DB00002"	"go:0043406"
"DB00002"	"go:0045087"
"DB00002"	"go:0045429"
"DB00002"	"go:0045739"
"DB00002"	"go:0045740"
"DB00002"	"go:0045944"
"DB00002"	"go:0046777"
"DB00002"	"go:0048010"
"DB00002"	"go:0048011"
"DB00002"	"go:0048015"
"DB00002"	"go:0048146"
"DB00002"	"go:0048546"
"DB00002"	"go:0050679"
"DB00002"	"go:0050730"
"DB00002"	"go:0050999"
"DB00002"	"go:0051205"
"DB00002"	"go:0051897"
"DB00002"	"go:0060571"
"DB00002"	"go:0070141"
"DB00002"	"go:0070374"
"DB00002"	"go:0071230"
"DB00002"	"go:0071364"
"DB00002"	"go:0071392"
"DB00002"	"go:0006508"
"DB00002"	"go:0006956"
"DB00002"	"go:0006958"
"DB00005"	"go:0002230"
"DB00005"	"go:0006955"
"DB00005"	"go:0098792"
"DB00005"	"go:0098779"
"DB00005"	"go:0006508"
"DB00005"	"go:0006956"
"DB00005"	"go:0006958"
"DB00005"	"go:0045087"
"DB00005"	"go:0001666"
"DB00005"	"go:0002876"
"DB00005"	"go:0002925"
"DB00005"	"go:0006915"
"DB00005"	"go:0006959"
"DB00005"	"go:0007165"
"DB00005"	"go:0007267"
"DB00005"	"go:0007584"
"DB00005"	"go:0032496"
"DB00005"	"go:0032729"
"DB00005"	"go:0033209"
"DB00005"	"go:0042493"
"DB00005"	"go:0043065"
"DB00005"	"go:0044130"
"DB00005"	"go:0048147"
"DB00005"	"go:0048535"
"DB00005"	"go:0050830"
"DB00005"	"go:0060252"
"DB00005"	"go:0000060"
"DB00005"	"go:0000122"
"DB00005"	"go:0000165"
"DB00005"	"go:0000185"
"DB00005"	"go:0000187"
"DB00005"	"go:0001819"
"DB00005"	"go:0001934"
"DB00005"	"go:0002439"
"DB00005"	"go:0002740"
"DB00005"	"go:0006006"
