"drugid","name","atc"
"DB00001","Lepirudin","B01AE02"
"DB00002","Cetuximab","L01XC06"
"DB00004","Denileukindiftitox","L01XX29"
"DB00005","Etanercept","L04AB01"
"DB00006","Bivalirudin","B01AE06"
"DB00007","Leuprolide","L02AE02"
"DB00008","Peginterferonalfa-2a","L03AB11"
"DB00009","Alteplase","B01AD02"
"DB00010","Sermorelin","H01AC04"
"DB00011","Interferonalfa-n1","L03AB06"
"DB00012","Darbepoetinalfa","B03XA02"
"DB00013","Urokinase","B01AD04"
"DB00014","Goserelin","L02AE03"
"DB00015","Reteplase","B01AD07"
"DB00019","Pegfilgrastim","L03AA13"
"DB00020","Sargramostim","L03AA09"
"DB00021","Secretin","V04CK01"
"DB00022","Peginterferonalfa-2b","L03AB10"
"DB00023","Asparaginase","L01XX02"
"DB00024","ThyrotropinAlfa","H01AB01"
"DB00026","Anakinra","L04AC03"
"DB00027","GramicidinD","R02AB30"
"DB00029","Anistreplase","B01AD03"
"DB00031","Tenecteplase","B01AD11"
"DB00034","InterferonAlfa-2a,Recombinant","L03AB04"
"DB00035","Desmopressin","H01BA02"
"DB00038","Oprelvekin","L03AC02"
"DB00039","Palifermin","V03AF08"
"DB00040","Glucagonrecombinant","H04AA01"
"DB00041","Aldesleukin","L03AC01"
"DB00043","Omalizumab","R03DX05"
"DB00044","Lutropinalfa","G03GA07"
"DB00046","InsulinLispro","A10AB04"
"DB00047","InsulinGlargine","A10AE04"
"DB00048","Collagenase","D03BA02"
"DB00049","Rasburicase","V03AF07"
"DB00050","Cetrorelix","H01CC02"
"DB00051","Adalimumab","L04AB04"
"DB00052","Somatropinrecombinant","H01AC01"
"DB00053","Imiglucerase","A16AB02"
"DB00054","Abciximab","B01AC13"
"DB00059","Pegaspargase","L01XX24"
"DB00060","Interferonbeta-1a","L03AB07"
"DB00063","Eptifibatide","B01AC16"
"DB00065","Infliximab","L04AB02"
"DB00066","Follitropinbeta","G03GA06"
"DB00067","Vasopressin","H01BA01"
"DB00068","Interferonbeta-1b","L03AB08"
"DB00069","Interferonalfacon-1","L03AB09"
"DB00070","Hyaluronidase","B06AA03"
"DB00072","Trastuzumab","L01XC03"
"DB00073","Rituximab","L01XC02"
"DB00074","Basiliximab","L04AC02"
"DB00075","Muromonab","L04AA02"
"DB00080","Daptomycin","J01XX09"
"DB00082","Pegvisomant","H01AX01"
"DB00086","Streptokinase","B01AD01"
"DB00087","Alemtuzumab","L04AA34"
"DB00088","Alglucerase","A16AB01"
"DB00090","Laronidase","A16AB05"
"DB00091","Cyclosporine","L04AD01"
"DB00092","Alefacept","L04AA15"
"DB00094","Urofollitropin","G03GA04"
"DB00095","Efalizumab","L04AA21"
"DB00097","Choriogonadotropinalfa","G03GA08"
"DB00099","Filgrastim","L03AA02"
"DB00100","CoagulationFactorIX","B02BD04"
"DB00102","Becaplermin","A01AD08"
"DB00103","Agalsidasebeta","A16AB04"
"DB00104","Octreotide","H01CB02"
"DB00105","InterferonAlfa-2b,Recombinant","L03AB05"
"DB00106","Abarelix","L02BX01"
"DB00107","Oxytocin","H01BB02"
"DB00108","Natalizumab","L04AA23"
"DB00109","Enfuvirtide","J05AX07"
"DB00110","Palivizumab","J06BB16"
"DB00111","Daclizumab","L04AC01"
"DB00112","Bevacizumab","L01XC07"
"DB00114","PyridoxalPhosphate","A11HA06"
"DB00115","Cyanocobalamin","B03BA01"
"DB00121","Biotin","A11HA05"
"DB00126","VitaminC","G01AD03"
"DB00130","L-Glutamine","A16AA03"
"DB00134","L-Methionine","V03AB26"
"DB00136","Calcitriol","A11CC04"
"DB00143","Glutathione","V03AB32"
"DB00145","Glycine","B05CX03"
"DB00146","Calcidiol","A11CC06"
"DB00150","L-Tryptophan","N06AX02"
"DB00153","Ergocalciferol","A11CC01"
"DB00158","FolicAcid","B03BB01"
"DB00162","VitaminA","D10AD02"
"DB00166","LipoicAcid","A16AX01"
"DB00169","Cholecalciferol","A11CC05"
"DB00170","Menadione","B02BA02"
"DB00175","Pravastatin","C10AA03"
"DB00176","Fluvoxamine","N06AB08"
"DB00177","Valsartan","C09CA03"
"DB00178","Ramipril","C09AA05"
"DB00179","Masoprocol","L01XX10"
"DB00180","Flunisolide","R03BA03"
"DB00181","Baclofen","M03BX01"
"DB00182","Amphetamine","N06BA01"
"DB00183","Pentagastrin","V04CG04"
"DB00184","Nicotine","N07BA01"
"DB00185","Cevimeline","N07AX03"
"DB00186","Lorazepam","N05BA06"
"DB00187","Esmolol","C07AB09"
"DB00188","Bortezomib","L01XX32"
"DB00189","Ethchlorvynol","N05CM08"
"DB00191","Phentermine","A08AA01"
"DB00193","Tramadol","N02AX02"
"DB00194","Vidarabine","J05AB03"
"DB00195","Betaxolol","C07AB05"
"DB00196","Fluconazole","D01AC15"
"DB00198","Oseltamivir","J05AH02"
"DB00199","Erythromycin","D10AF02"
"DB00200","Hydroxocobalamin","B03BA03"
"DB00201","Caffeine","N06BC01"
"DB00202","Succinylcholine","M03AB01"
"DB00203","Sildenafil","G04BE03"
"DB00204","Dofetilide","C01BD04"
"DB00205","Pyrimethamine","P01BD01"
"DB00206","Reserpine","C02AA02"
"DB00207","Azithromycin","J01FA10"
"DB00208","Ticlopidine","B01AC05"
"DB00209","Trospium","G04BD09"
"DB00210","Adapalene","D10AD03"
"DB00211","Midodrine","C01CA17"
"DB00212","Remikiren","C09XA01"
"DB00213","Pantoprazole","A02BC02"
"DB00214","Torasemide","C03CA04"
"DB00215","Citalopram","N06AB04"
"DB00216","Eletriptan","N02CC06"
"DB00217","Bethanidine","C02CC01"
"DB00218","Moxifloxacin","J01MA14"
"DB00219","Oxyphenonium","A03AB03"
"DB00220","Nelfinavir","J05AE04"
"DB00221","Isoetarine","R03AC07"
"DB00222","Glimepiride","A10BB12"
"DB00223","Diflorasone","D07AC10"
"DB00224","Indinavir","J05AE02"
"DB00225","Gadodiamide","V08CA03"
"DB00227","Lovastatin","C10AA02"
"DB00228","Enflurane","N01AB04"
"DB00229","Cefotiam","J01DC07"
"DB00230","Pregabalin","N03AX16"
"DB00231","Temazepam","N05CD07"
"DB00232","Methyclothiazide","C03AA08"
"DB00233","AminosalicylicAcid","J04AA01"
"DB00234","Reboxetine","N06AX18"
"DB00235","Milrinone","C01CE02"
"DB00236","Pipobroman","L01AX02"
"DB00238","Nevirapine","J05AG01"
"DB00239","Oxiconazole","D01AC11"
"DB00240","Alclometasone","D07AB10"
"DB00242","Cladribine","L01BB04"
"DB00243","Ranolazine","C01EB18"
"DB00244","Mesalazine","A07EC02"
"DB00245","Benzatropine","N04AC01"
"DB00246","Ziprasidone","N05AE04"
"DB00247","Methysergide","N02CA04"
"DB00248","Cabergoline","G02CB03"
