"drugid"	"smiles"
"DB00006"	"CC[C@H](C)[C@H](NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC(O)=O)NC(=O)CNC(=O)[C@H](CC(N)=O)NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(N)=N)NC(=O)[C@@H]1CCCN1C(=O)[C@H](N)CC1=CC=CC=C1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC1=CC=C(O)C=C1)C(=O)N[C@@H](CC(C)C)C(O)=O"
"DB00091"	"CCC1NC(=O)C(C(O)C(C)CC=CC)N(C)C(=O)C(C(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(C)NC(=O)C(C)NC(=O)C(CC(C)C)N(C)C(=O)C(NC(=O)C(CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C"
"DB00093"	"NCCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CSSC[C@H](N)C(=O)N[C@@H](CC2=CC=CC=C2)C(=O)N[C@@H](CC2=CC=CC=C2)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N1)C(=O)NCC(N)=O"
"DB00104"	"C[C@@H](O)[C@@H](CO)NC(=O)[C@@H]1CSSC[C@H](NC(=O)[C@H](N)CC2=CC=CC=C2)C(=O)N[C@@H](CC2=CC=CC=C2)C(=O)N[C@H](CC2=CNC3=C2C=CC=C3)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C(C)O)C(=O)N1"
"DB00114"	"CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O"
"DB00259"	"NC1=CC=C(C=C1)S(N)(=O)=O"
"DB00260"	"N[C@@H]1CONC1=O"
"DB00261"	"ClC1=CC=C2N=C3NC(=O)CN3CC2=C1Cl"
"DB00262"	"ClCCNC(=O)N(CCCl)N=O"
"DB00263"	"CC1=NOC(NS(=O)(=O)C2=CC=C(N)C=C2)=C1C"
"DB00264"	"COCCC1=CC=C(OCC(O)CNC(C)C)C=C1"
"DB00265"	"CCN(C(=O)C=CC)C1=CC=CC=C1C"
"DB00266"	"OC1=C(CC2=C(O)C3=C(OC2=O)C=CC=C3)C(=O)OC2=C1C=CC=C2"
"DB00267"	"[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)C1=CSC(N)=N1)C(O)=O"
"DB00268"	"CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1"
"DB00269"	"COC1=CC=C(C=C1)C(Cl)=C(C1=CC=C(OC)C=C1)C1=CC=C(OC)C=C1"
"DB00270"	"COC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC2=NON=C12)C(=O)OC(C)C"
"DB00271"	"CC(=O)NC1=C(I)C(C(O)=O)=C(I)C(NC(C)=O)=C1I"
"DB00272"	"NCCC1=CC=NN1"
