"drugid"	"geneid"
"DB00001"	"2147"
"DB00005"	"4049"
"DB00005"	"7124"
"DB00108"	"3676"
"DB00304"	"5241"
"DB00374"	"5739"
"DB00945"	"5742"
"DB01097"	"1723"
"DB00068"	"3454"
"DB00068"	"3455"
"DB00175"	"3156"
"DB00282"	"2224"
"DB00287"	"5737"
"DB00318"	"4988"
"DB00338"	"495"
"DB00338"	"496"
"DB00429"	"5737"
"DB00619"	"3815"
"DB00619"	"5156"
"DB00619"	"5159"
"DB00619"	"25"
"DB00630"	"2224"
"DB00654"	"5737"
"DB00724"	"51284"
"DB00884"	"2224"
"DB00973"	"29881"
"DB01098"	"3156"
"DB01101"	"7298"
"DB01128"	"367"
"DB01161"	"6326"
"DB01161"	"6329"
"DB01161"	"6334"
"DB01161"	"6335"
"DB01161"	"6328"
"DB01161"	"6336"
"DB01161"	"6323"
"DB01161"	"6331"
"DB00302"	"5340"
"DB01217"	"1588"
"DB00647"	"4988"
"DB00655"	"2099"
"DB00947"	"2100"
"DB00947"	"2099"
"DB01252"	"6833"
"DB01270"	"7422"
"DB01324"	"6559"
"DB00169"	"7421"
"DB00253"	"2908"
"DB00451"	"7068"
"DB00451"	"7067"
"DB00836"	"4988"
"DB00990"	"1588"
"DB01086"	"6334"
"DB01086"	"6335"
"DB01086"	"6328"
"DB00469"	"5743"
"DB00469"	"5742"
"DB00719"	"3269"
"DB00920"	"3269"
"DB00939"	"5743"
"DB00939"	"5742"
"DB01108"	"3283"
"DB01209"	"4988"
"DB01209"	"4986"
"DB01209"	"4985"
"DB01227"	"4988"
"DB01246"	"3269"
"DB00213"	"495"
"DB00213"	"496"
"DB00248"	"1813"
"DB00273"	"6331"
"DB00279"	"7068"
"DB00279"	"7067"
"DB00315"	"3351"
"DB00315"	"3352"
"DB00323"	"1312"
"DB00391"	"1813"
"DB00391"	"1814"
"DB00413"	"1813"
"DB00413"	"1814"
"DB00413"	"1815"
"DB00470"	"1268"
"DB00486"	"1268"
"DB00508"	"1813"
"DB00640"	"140"
"DB00704"	"4988"
"DB00704"	"4986"
"DB00704"	"4985"
"DB00736"	"495"
"DB00736"	"496"
"DB00816"	"154"
"DB00820"	"8654"
"DB00906"	"6529"
"DB00907"	"6326"
"DB00909"	"6329"
"DB00909"	"6328"
"DB00953"	"3351"
"DB00953"	"3352"
"DB01081"	"4988"
"DB01129"	"495"
"DB01129"	"496"
"DB01202"	"9900"
"DB00792"	"3269"
"DB00882"	"2100"
"DB00882"	"2099"
"DB00890"	"2100"
"DB00890"	"2099"
"DB00894"	"1588"
"DB00901"	"154"
"DB01146"	"3269"
"DB01160"	"5737"
"DB01183"	"4988"
"DB01183"	"4986"
"DB01183"	"4985"
"DB01191"	"6532"
"DB00104"	"6752"
"DB00104"	"6753"
"DB00193"	"4988"
"DB00222"	"6833"
"DB00223"	"2908"
"DB00232"	"6559"
"DB00240"	"2908"
"DB00246"	"1813"
"DB00264"	"153"
"DB00268"	"1813"
"DB00275"	"185"
"DB00277"	"134"
"DB00277"	"135"
"DB00280"	"6335"
"DB00280"	"6331"
"DB00281"	"6329"
"DB00281"	"6335"
"DB00281"	"6331"
"DB00283"	"3269"
"DB00288"	"2908"
"DB00289"	"6530"
"DB00295"	"4988"
"DB00308"	"3757"
"DB00310"	"6559"
"DB00317"	"1956"
"DB00324"	"2908"
"DB00327"	"4988"
"DB00328"	"5743"
"DB00328"	"5742"
"DB00333"	"4988"
"DB00334"	"3358"
"DB00334"	"3269"
"DB00334"	"1813"
"DB00334"	"1814"
"DB00334"	"3356"
"DB00334"	"1815"
"DB00335"	"153"
"DB00341"	"3269"
"DB00394"	"2908"
"DB00398"	"2324"
"DB00398"	"3815"
"DB00398"	"673"
"DB00398"	"3791"
"DB00398"	"5159"
"DB00398"	"2322"
"DB00399"	"2224"
"DB00408"	"1813"
"DB00420"	"1813"
"DB00433"	"1813"
"DB00434"	"3269"
"DB00454"	"4988"
"DB00461"	"5743"
"DB00465"	"5743"
"DB00465"	"5742"
"DB00472"	"6532"
"DB00476"	"6530"
"DB00476"	"6532"
"DB00477"	"1813"
"DB00480"	"7124"
"DB00497"	"4988"
"DB00500"	"5742"
"DB00500"	"5743"
"DB00502"	"1813"
"DB00554"	"5743"
"DB00554"	"5742"
"DB00557"	"3269"
"DB00573"	"5743"
"DB00573"	"5742"
"DB00586"	"5743"
"DB00586"	"5742"
