drugid	umls_cui_from_meddra
DB07768	C0000729
DB07768	C0000737
DB07768	C0232492
DB07768	C0740651
DB07768	C0877331
DB07768	C0234458
DB07768	C0702166
DB07768	C0240671
DB07768	C0948089
DB07768	C0851536
DB07768	C0233472
DB07768	C0525045
DB07768	C0001807
DB07768	C0085631
DB07768	C0151905
DB07768	C0162820
DB07768	C0002170
DB07768	C0002453
DB07768	C0002622
DB07768	C0002871
DB07768	C0002792
DB07768	C0340865
DB07768	C0162311
DB07768	C0002957
DB07768	C0002962
DB07768	C0002994
DB07768	C0042373
DB07768	C0003467
DB07768	C0003621
DB07768	C0877661
DB07768	C0877098
DB07768	C0853700
DB07768	C1610049
DB07768	C1535849
DB07768	C0521490
DB07768	C0234936
DB07768	C0521491
DB07768	C0853714
DB07768	C0521495
DB07768	C0151505
DB07768	C0877097
DB07768	C0858794
DB07768	C0003862
DB07768	C0003864
DB07768	C0151904
DB07768	C0004093
DB07768	C0004096
DB07768	C0333641
DB07768	C0004509
DB07768	C0004604
DB07768	C0541799
DB07768	C0575090
DB07768	C1704272
DB07768	C0005001
DB07768	C0741494
DB07768	C0005758
DB07768	C0311468
DB07768	C0595930
DB07768	C0235431
DB07768	C0595877
DB07768	C0277890
DB07768	C0497247
DB07768	C0277884
DB07768	C0854082
DB07768	C0853117
DB07768	C0853118
DB07768	C0853692
DB07768	C0438241
DB07768	C0006144
DB07768	C0006145
DB07768	C2225524
DB07768	C0269268
DB07768	C0024902
DB07768	C0262397
DB07768	C0085129
DB07768	C0006277
DB07768	C0235340
DB07768	C0856152
DB07768	C0006434
DB07768	C0007097
DB07768	C0018790
DB07768	C0018799
DB07768	C0018801
DB07768	C0007785
DB07768	C0038454
DB07768	C0241832
DB07768	C0007971
DB07768	C0235710
DB07768	C0008031
DB07768	C0232292
DB07768	C0085593
DB07768	C0595929
DB07768	C0024117
DB07768	C0233976
DB07768	C0005778
DB07768	C0005779
DB07768	C0009241
DB07768	C0338656
DB07768	C0009676
DB07768	C0009782
DB07768	C0009938
DB07768	C1956346
DB07768	C0151814
DB07768	C0010200
DB07768	C0151578
DB07768	C0010709
DB07768	C0149871
DB07768	C0011570
DB07768	C0221745
DB07768	C0011603
DB07768	C0234894
DB07768	C0011615
DB07768	C0085932
DB07768	C0011616
DB07768	C0541879
DB07768	C0011849
DB07768	C0011991
DB07768	C0012569
DB07768	C0234215
DB07768	C0086168
DB07768	C0233414
DB07768	C0855242
DB07768	C0012833
DB07768	C0043352
DB07768	C0151908
DB07768	C0013378
DB07768	C1527344
DB07768	C0013404
DB07768	C0013428
DB07768	C0013595
DB07768	C0235969
DB07768	C0013922
DB07768	C0340726
DB07768	C0014130
DB07768	C0156394
DB07768	C1167709
DB07768	C0014534
DB07768	C0151628
DB07768	C0242350
DB07768	C0041834
DB07768	C0702109
DB07768	C0015397
DB07768	C0235267
DB07768	C0015672
DB07768	C1443060
DB07768	C0268000
DB07768	C0016436
DB07768	C1096506
DB07768	C0151662
