Drug	Disease
DB00550	102100
DB00937	102100
DB01058	102100
DB00188	102300
DB00191	102300
DB00227	102300
DB00264	102300
DB00407	102300
DB00555	102300
DB00570	102300
DB00990	102300
DB01058	102300
DB01192	102300
DB01228	102300
DB01628	102300
DB00281	102400
DB00167	102500
DB00281	102500
DB00285	102500
DB00396	102500
DB00476	102500
DB00593	102500
DB00622	102500
DB00697	102500
DB00712	102500
DB00771	102500
DB00876	102500
DB00968	102500
DB00993	102500
DB00699	103100
DB00624	103230
DB00678	103230
DB00851	103230
DB00328	103285
DB00624	103285
DB00819	103285
DB01037	103285
DB00214	103780
DB00470	103780
DB00570	103780
DB00653	103780
DB00695	103780
DB00813	103780
DB00888	103780
DB00248	104130
DB00310	104130
DB00349	104130
DB00413	104130
DB00482	104130
DB00528	104130
DB00555	104130
DB00608	104130
DB00784	104130
DB01200	104130
DB00162	104300
DB00310	104300
DB00379	104300
DB00663	104300
DB00829	104300
DB00982	104300
DB01023	104300
DB01033	104300
DB00162	104310
DB00379	104310
DB00663	104310
DB00829	104310
DB00982	104310
DB01023	104310
DB01033	104310
DB00973	106100
DB01367	106100
DB02546	106100
DB04865	106100
DB06700	106100
DB00178	106400
DB00537	106400
DB00575	106400
DB00717	106400
DB00925	106400
DB00987	106400
DB00674	107320
DB00933	107320
DB00736	107550
DB00734	107650
DB00350	109100
DB00465	109100
DB00624	109100
DB00952	109100
DB01065	109100
DB01143	109100
DB01223	109100
DB01200	109200
DB00211	109350
DB00337	109350
DB00363	109350
DB00443	109350
DB00497	109350
DB00573	109350
DB00594	109350
DB00727	109350
DB00853	109350
DB00873	109350
DB00918	109350
DB01012	109350
DB01013	109350
DB01118	109350
DB01224	109350
DB00241	109543
DB00257	109543
DB00289	109543
DB00440	109543
DB00535	109543
DB00554	109543
DB00975	109543
DB01019	109543
DB01067	109543
DB01170	109543
DB01195	109543
DB00304	109800
DB00381	109800
DB00502	109800
DB00554	109800
DB00950	109800
DB00991	109800
DB00262	110100
DB00334	110100
DB00563	110100
DB00591	110100
DB00604	110100
DB01194	110100
DB01611	110100
DB00427	113610
DB00530	113610
DB00748	113800
DB00014	114480
DB00281	114480
DB00285	114480
DB00350	114480
DB00436	114480
DB00441	114480
DB00476	114480
DB00537	114480
DB00554	114480
DB00559	114480
DB00619	114480
DB00668	114480
DB00771	114480
DB00936	114480
DB00983	114480
DB00991	114480
DB00999	114480
DB01085	114480
DB01174	114480
DB01202	114480
DB01221	114480
DB01238	114480
DB01246	114480
DB00537	114500
DB00554	114500
DB00641	114500
DB00754	114500
DB01085	114500
DB00394	114550
DB00255	114580
DB00608	114580
DB01084	114580
DB01098	114580
DB01151	114580
DB01176	114580
DB00203	115000
DB00248	115000
DB00279	115000
DB00373	115000
DB00563	115000
DB00654	115000
DB00903	115000
DB01020	115000
DB01045	115000
DB01099	115000
DB01105	115000
DB01219	115000
DB00654	115195
DB00160	115300
DB00956	115645
DB00906	119500
DB01162	121200
DB00783	121201
DB01162	121201
DB00748	124200
DB00376	125310
DB00388	125310
DB00674	125310
DB00716	125310
DB00750	125310
DB00780	125310
DB00794	125310
DB00933	125310
DB01203	125310
DB00162	125320
DB00188	125320
DB00244	125320
DB00264	125320
DB00310	125320
DB00379	125320
