Drug	Disease
DB00002	246470
DB00432	246470
DB00544	246470
DB09343	246470
DB00003	219700
DB00742	219700
DB00005	180300
DB00026	180300
DB00051	180300
DB00065	180300
DB00073	180300
DB00091	180300
DB00328	180300
DB00443	180300
DB00461	180300
DB00482	180300
DB00500	180300
DB00554	180300
DB00563	180300
DB00573	180300
DB00586	180300
DB00605	180300
DB00608	180300
DB00620	180300
DB00635	180300
DB00712	180300
DB00741	180300
DB00749	180300
DB00788	180300
DB00795	180300
DB00814	180300
DB00859	180300
DB00860	180300
DB00861	180300
DB00936	180300
DB00939	180300
DB00945	180300
DB00959	180300
DB00991	180300
DB00993	180300
DB00995	180300
DB01009	180300
DB01050	180300
DB01097	180300
DB01234	180300
DB01281	180300
DB01356	180300
DB01380	180300
DB01397	180300
DB01399	180300
DB01600	180300
DB01611	180300
DB06273	180300
DB06674	180300
DB08880	180300
DB08895	180300
DB08904	180300
DB09212	180300
DB09213	180300
DB09276	180300
DB00007	131200
DB00014	131200
DB00302	131200
DB00396	131200
DB00603	131200
DB00666	131200
DB00717	131200
DB01357	131200
DB01406	131200
DB00009	601367
DB00009	601367
DB00010	225755
DB00052	225755
DB00017	166710
DB00153	166710
DB00169	166710
DB00399	166710
DB00481	166710
DB00630	166710
DB00710	166710
DB00884	166710
DB06285	166710
DB06401	166710
DB06643	166710
DB09267	166710
DB00017	167320
DB00017	602080
DB00017	602080
DB00017	602080
DB00282	167320
DB00282	602080
DB00282	602080
DB00282	602080
DB00399	167320
DB00399	602080
DB00399	602080
DB00399	602080
DB00630	167320
DB00630	602080
DB00630	602080
DB00630	602080
DB00884	167320
DB00884	602080
DB00884	602080
DB00884	602080
DB01077	167320
DB01077	602080
DB01077	602080
DB01077	602080
DB01133	167320
DB01133	602080
DB01133	602080
DB01133	602080
DB00023	247640
DB00059	247640
DB00309	247640
DB00443	247640
DB00444	247640
DB00541	247640
DB00563	247640
DB00620	247640
DB00631	247640
DB00635	247640
DB00694	247640
DB00741	247640
DB00860	247640
DB00959	247640
DB00987	247640
DB00997	247640
DB01033	247640
DB01234	247640
DB01380	247640
DB00026	607115
DB00030	125852
DB00030	222100
DB00030	612227
DB00046	125852
DB00046	222100
DB00046	612227
DB00047	125852
DB00047	222100
DB00047	612227
DB00030	125853
DB00030	125853
DB00030	125853
DB00046	125853
DB00046	125853
DB00046	125853
DB00047	125853
DB00047	125853
DB00047	125853
DB00222	125853
DB00222	125853
DB00222	125853
DB00284	125853
DB00284	125853
DB00284	125853
DB00331	125853
DB00331	125853
DB00331	125853
DB00491	125853
DB00491	125853
DB00491	125853
DB00672	125853
DB00672	125853
DB00672	125853
DB00731	125853
DB00731	125853
DB00731	125853
DB00839	125853
DB00839	125853
DB00839	125853
DB00912	125853
DB00912	125853
DB00912	125853
DB01016	125853
DB01016	125853
DB01016	125853
DB01067	125853
DB01067	125853
DB01067	125853
DB01120	125853
DB01120	125853
DB01120	125853
DB01124	125853
DB01124	125853
DB01124	125853
DB01132	125853
DB01132	125853
DB01132	125853
DB01251	125853
DB01251	125853
DB01251	125853
DB01252	125853
DB01252	125853
DB01252	125853
DB01261	125853
DB01261	125853
DB01261	125853
DB01289	125853
DB01289	125853
DB01289	125853
DB01382	125853
DB01382	125853
DB01382	125853
DB04876	125853
DB04876	125853
DB04876	125853
DB04878	125853
DB04878	125853
DB04878	125853
DB06203	125853
DB06203	125853
DB06203	125853
DB06292	125853
DB06292	125853
DB06292	125853
DB06335	125853
DB06335	125853
DB06335	125853
DB06655	125853
DB06655	125853
DB06655	125853
DB08882	125853
DB08882	125853
DB08882	125853
DB08907	125853
DB08907	125853
DB08907	125853
DB09038	125853
DB09038	125853
DB09038	125853
DB09043	125853
DB09043	125853
DB09043	125853
DB09045	125853
DB09045	125853
DB09045	125853
DB09198	125853
DB09198	125853
DB09198	125853
DB09265	125853
DB09265	125853
DB09265	125853
DB00035	134430
DB00035	134500
DB00035	134510
DB00035	134520
DB00035	227300
DB00036	134430
DB00036	134500
DB00036	134510
DB00036	134520
DB00036	227300
DB00067	134430
DB00067	134500
DB00067	134510
DB00067	134520
DB00067	227300
DB09109	134430
DB09109	134500
DB09109	134510
DB09109	134520
DB09109	227300
DB00035	600631
DB00035	600631
DB00035	600808
DB00035	600631
DB00067	600631
DB00067	600631
DB00067	600808
DB00067	600631
DB00458	600631
DB00458	600631
DB00458	600808
DB00458	600631
DB00036	134510
DB00036	306900
DB00100	134510
DB00100	306900
DB11608	134510
DB11608	306900
DB00036	273800
DB00036	273800
DB00036	134430
DB00036	227500
DB00041	601626
DB00041	601626
DB00041	601626
DB00056	601626
DB00056	601626
DB00056	601626
DB00352	601626
DB00352	601626
DB00352	601626
DB00694	601626
DB00694	601626
DB00694	601626
DB00987	601626
DB00987	601626
DB00987	601626
DB00997	601626
DB00997	601626
DB00997	601626
DB01177	601626
DB01177	601626
DB01177	601626
DB01204	601626
DB01204	601626
DB01204	601626
DB01262	601626
DB01262	601626
DB01262	601626
DB00043	208550
DB00043	600807
DB00180	208550
DB00180	600807
DB00277	208550
DB00277	600807
DB00368	208550
DB00368	600807
DB00394	208550
DB00394	600807
DB00443	208550
DB00443	600807
DB00549	208550
DB00549	600807
DB00620	208550
DB00620	600807
DB00635	208550
DB00635	600807
DB00651	208550
DB00651	600807
DB00668	208550
DB00668	600807
DB00716	208550
DB00716	600807
DB00741	208550
DB00741	600807
DB00764	208550
DB00764	600807
DB00816	208550
DB00816	600807
DB00860	208550
DB00860	600807
DB00871	208550
DB00871	600807
DB00885	208550
DB00885	600807
DB00959	208550
DB00959	600807
DB01003	208550
DB01003	600807
DB01222	208550
DB01222	600807
DB01223	208550
DB01223	600807
DB01234	208550
DB01234	600807
DB01260	208550
DB01260	600807
DB01291	208550
DB01291	600807
DB01380	208550
DB01380	600807
DB01409	208550
DB01409	600807
DB01410	208550
DB01410	600807
DB01411	208550
DB01411	600807
DB05266	208550
DB05266	600807
DB07615	208550
DB07615	600807
DB08906	208550
DB08906	600807
DB09082	208550
DB09082	600807
DB00048	171000
DB03793	171000
DB00051	266600
DB00065	266600
DB00108	266600
DB00443	266600
DB00620	266600
DB00635	266600
DB00741	266600
DB00860	266600
DB00959	266600
DB01222	266600
DB01234	266600
DB01260	266600
DB01380	266600
DB08904	266600
DB09033	266600
DB00051	266600
DB00065	266600
DB00244	266600
DB00359	266600
DB00741	266600
DB00795	266600
DB00860	266600
DB01014	266600
DB01380	266600
DB06674	266600
DB09033	266600
DB00052	115645
DB00052	156190
DB00052	233810
DB00052	176270
DB01282	176270
DB00053	230800
DB00419	230800
DB04878	230800
DB06720	230800
DB09039	230800
DB00073	605027
DB00262	605027
DB00290	605027
DB00443	605027
DB00541	605027
DB00563	605027
DB00570	605027
DB00620	605027
DB00635	605027
DB00741	605027
DB00791	605027
DB00860	605027
DB00888	605027
DB00959	605027
DB00997	605027
DB01234	605027
DB01380	605027
DB04572	605027
DB00073	109543
DB00073	151400
DB00073	151400
DB00073	151400
DB00291	109543
DB00291	151400
DB00291	151400
DB00291	151400
DB00635	109543
DB00635	151400
DB00635	151400
DB00635	151400
DB00791	109543
DB00791	151400
DB00791	151400
DB00791	151400
DB00888	109543
DB00888	151400
DB00888	151400
DB00888	151400
DB06650	109543
DB06650	151400
DB06650	151400
DB06650	151400
DB06769	109543
DB06769	151400
DB06769	151400
DB06769	151400
DB08935	109543
DB08935	151400
DB08935	151400
DB08935	151400
DB09053	109543
DB09053	151400
DB09053	151400
DB09053	151400
DB09054	109543
DB09054	151400
DB09054	151400
DB09054	151400
DB11581	109543
DB11581	151400
DB11581	151400
DB11581	151400
DB00088	230800
DB00088	230800
DB06720	230800
DB06720	230800
DB00099	162800
DB09560	162800
DB00103	301500
DB00108	126200
DB00443	126200
DB00620	126200
DB00635	126200
DB00741	126200
DB00860	126200
DB00959	126200
DB01234	126200
DB01380	126200
DB05259	126200
DB06637	126200
DB08880	126200
DB00112	137800
DB00112	603956
DB00115	170900
DB00152	170900
DB00200	170900
DB00115	206200
DB00139	206200
DB00158	206200
DB01592	206200
DB08917	206200
DB09517	206200
DB00133	137750
DB00133	601682
DB00195	137750
DB00195	601682
DB00287	137750
DB00287	601682
DB00373	137750
DB00373	601682
DB00411	137750
DB00411	601682
DB00449	137750
DB00449	601682
DB00484	137750
DB00484	601682
DB00521	137750
DB00521	601682
DB00575	137750
DB00575	601682
DB00654	137750
DB00654	601682
DB00668	137750
DB00668	601682
DB00703	137750
DB00703	601682
DB00819	137750
DB00819	601682
DB00869	137750
DB00869	601682
DB00905	137750
DB00905	601682
DB00964	137750
DB00964	601682
DB00981	137750
DB00981	601682
DB01057	137750
DB01057	601682
DB01085	137750
DB01085	601682
DB01144	137750
DB01144	601682
DB01194	137750
DB01194	601682
DB01210	137750
DB01210	601682
DB01214	137750
DB01214	601682
DB01229	137750
DB01229	601682
DB06826	137750
DB06826	601682
DB08819	137750
DB08819	601682
DB09351	137750
DB09351	601682
DB00136	241519
DB00146	241519
DB01070	241519
DB09525	241519
DB00136	146255
DB00153	146255
DB00169	146255
DB01070	146255
DB01436	146255
DB05829	146255
DB00145	608088
DB00318	608088
DB00327	608088
DB00388	608088
DB00397	608088
DB00462	608088
DB00514	608088
DB00725	608088
DB00747	608088
DB00868	608088
DB00874	608088
DB00956	608088
DB01086	608088
DB01176	608088
DB01237	608088
DB01240	608088
DB01551	608088
DB01620	608088
DB04837	608088
DB06715	608088
DB06767	608088
DB08936	608088
DB09154	608088
DB00145	607154
DB00180	607154
DB00201	607154
DB00283	607154
DB00316	607154
DB00318	607154
DB00332	607154
DB00341	607154
DB00366	607154
DB00388	607154
DB00394	607154
DB00397	607154
DB00405	607154
DB00420	607154
DB00427	607154
DB00434	607154
DB00443	607154
DB00455	607154
DB00462	607154
DB00471	607154
DB00514	607154
DB00557	607154
DB00588	607154
DB00620	607154
DB00635	607154
DB00637	607154
DB00719	607154
DB00741	607154
DB00747	607154
DB00748	607154
DB00764	607154
DB00768	607154
DB00792	607154
DB00835	607154
DB00852	607154
DB00860	607154
DB00874	607154
DB00885	607154
DB00902	607154
DB00936	607154
DB00950	607154
DB00956	607154
DB00959	607154
DB00967	607154
DB00972	607154
DB01003	607154
DB01114	607154
DB01146	607154
DB01176	607154
DB01222	607154
DB01234	607154
DB01240	607154
DB01246	607154
DB01260	607154
DB01364	607154
DB01380	607154
DB01410	607154
DB01411	607154
DB01551	607154
DB01619	607154
DB01620	607154
DB04837	607154
DB06282	607154
DB06691	607154
DB06715	607154
DB07615	607154
DB08799	607154
DB08906	607154
DB08936	607154
DB09488	607154
DB09555	607154
DB11591	607154
DB00152	277730
DB00153	259660
DB00169	259660
DB00153	277440
DB00169	277440
DB00153	102500
DB00153	166710
DB00153	166710
DB00169	102500
DB00169	166710
DB00169	166710
DB00399	102500
DB00399	166710
DB00399	166710
DB00884	102500
DB00884	166710
DB00884	166710
DB01022	102500
DB01022	166710
DB01022	166710
DB01377	102500
DB01377	166710
DB01377	166710
DB06255	102500
DB06255	166710
DB06255	166710
DB06643	102500
DB06643	166710
DB06643	166710
DB00162	115300
DB00162	277350
DB00163	277460
DB00165	266100
DB00175	540000
DB00175	601367
DB00178	540000
DB00178	601367
DB00381	540000
DB00381	601367
DB00641	540000
DB00641	601367
DB00966	540000
DB00966	601367
DB01076	540000
DB01076	601367
DB01098	540000
DB01098	601367
DB09030	540000
DB09030	601367
DB00175	144250
DB00227	144250
DB00627	144250
DB00641	144250
DB00973	144250
DB01039	144250
DB01076	144250
DB01095	144250
DB01098	144250
DB08860	144250
DB00176	164230
DB00176	164230
DB00176	164230
DB00472	164230
DB00472	164230
DB00472	164230
DB00715	164230
DB00715	164230
DB00715	164230
DB01104	164230
DB01104	164230
DB01104	164230
DB01242	164230
DB01242	164230
DB01242	164230
DB00177	161900
DB00177	608622
DB00178	161900
DB00178	608622
DB00195	161900
DB00195	608622
DB00206	161900
DB00206	608622
DB00214	161900
DB00214	608622
DB00226	161900
DB00226	608622
DB00232	161900
DB00232	608622
DB00264	161900
DB00264	608622
DB00270	161900
DB00270	608622
DB00275	161900
DB00275	608622
DB00310	161900
DB00310	608622
DB00325	161900
DB00325	608622
DB00335	161900
DB00335	608622
DB00343	161900
DB00343	608622
DB00350	161900
DB00350	608622
DB00373	161900
DB00373	608622
DB00381	161900
DB00381	608622
DB00384	161900
DB00384	608622
DB00401	161900
DB00401	608622
DB00421	161900
DB00421	608622
DB00436	161900
DB00436	608622
DB00457	161900
DB00457	608622
DB00492	161900
DB00492	608622
DB00519	161900
DB00519	608622
DB00521	161900
DB00521	608622
DB00524	161900
DB00524	608622
DB00528	161900
DB00528	608622
DB00542	161900
DB00542	608622
DB00571	161900
DB00571	608622
DB00575	161900
DB00575	608622
DB00584	161900
DB00584	608622
DB00590	161900
DB00590	608622
DB00594	161900
DB00594	608622
DB00598	161900
DB00598	608622
DB00612	161900
DB00612	608622
DB00622	161900
DB00622	608622
DB00629	161900
DB00629	608622
DB00657	161900
DB00657	608622
DB00661	161900
DB00661	608622
DB00678	161900
DB00678	608622
DB00691	161900
DB00691	608622
DB00695	161900
DB00695	608622
DB00700	161900
DB00700	608622
DB00722	161900
DB00722	608622
DB00774	161900
DB00774	608622
DB00790	161900
DB00790	608622
DB00796	161900
DB00796	608622
DB00808	161900
DB00808	608622
DB00876	161900
DB00876	608622
DB00880	161900
DB00880	608622
DB00881	161900
DB00881	608622
DB00960	161900
DB00960	608622
DB00966	161900
DB00966	608622
DB00968	161900
DB00968	608622
DB00982	161900
