Drug	Disease
DB00261	187950
DB01004	276300
DB00271	276300
DB00357	276300
DB01005	276300
DB00531	276300
DB05494	276300
DB00927	276300
DB01249	276300
DB00262	276300
DB00515	276300
DB00317	276300
DB00710	276300
DB00958	276300
DB00789	276300
DB01204	276300
DB00399	276300
DB00853	276300
DB01168	276300
DB00541	276300
DB06704	276300
DB01006	276300
DB01101	276300
DB00724	276300
DB00571	276300
DB01097	276300
DB04572	276300
DB01033	276300
DB00352	276300
DB01259	276300
DB06703	276300
DB00538	276300
DB00530	276300
DB06589	276300
DB01241	145750
DB00255	145750
DB01039	145750
DB00641	145750
DB01393	145750
DB00436	145500
DB00436	145500
DB01136	145500
DB01136	145500
DB00808	145500
DB00808	145500
DB00590	145500
DB00590	145500
DB01023	145500
DB01023	145500
DB00575	145500
DB00575	145500
DB00999	145500
DB00999	145500
DB01029	145500
DB01029	145500
DB01275	145500
DB01275	145500
DB00661	145500
DB00661	145500
DB00657	145500
DB00657	145500
DB01115	145500
DB01115	145500
DB00678	145500
DB00678	145500
DB01174	145500
DB01174	145500
DB00524	145500
DB00524	145500
DB00966	145500
DB00966	145500
DB00373	145500
DB00373	145500
DB08822	145500
DB08822	145500
DB04920	145500
DB04920	145500
DB01119	161900
DB01119	608622
DB00590	161900
DB00590	608622
DB00381	161900
DB00381	608622
DB00880	161900
DB00880	608622
DB01018	161900
DB01018	608622
DB01275	161900
DB01275	608622
DB04846	161900
DB04846	608622
DB01193	161900
DB01193	608622
DB00310	161900
DB00310	608622
DB00774	161900
DB00774	608622
DB00808	161900
DB00808	608622
DB00575	161900
DB00575	608622
DB00796	161900
DB00796	608622
DB01029	161900
DB01029	608622
DB00270	161900
DB00270	608622
DB00195	161900
DB00195	608622
DB01023	161900
DB01023	608622
DB01378	161900
DB01378	608622
DB00695	161900
DB00695	608622
DB00335	161900
DB00335	608622
DB00521	161900
DB00521	608622
DB01136	161900
DB01136	608622
DB00612	161900
DB00612	608622
DB00661	161900
DB00661	608622
DB00598	161900
DB00598	608622
DB00482	161900
DB00482	608622
DB00999	161900
DB00999	608622
DB00528	161900
DB00528	608622
DB00373	161900
DB00373	608622
DB01162	161900
DB01162	608622
DB09242	161900
DB09242	608622
DB00214	161900
DB00214	608622
DB00203	161900
DB00203	608622
DB00401	161900
DB00401	608622
DB01115	161900
DB01115	608622
DB01580	161900
DB01580	608622
DB00524	161900
DB00524	608622
DB00187	161900
DB00187	608622
DB01032	161900
DB01032	608622
DB00264	161900
DB00264	608622
DB00350	161900
DB00350	608622
DB00937	161900
DB00937	608622
DB00966	161900
DB00966	608622
DB01324	161900
DB01324	608622
DB01233	161900
DB01233	608622
DB00232	161900
DB00232	608622
DB00216	161900
DB00216	608622
DB00862	161900
DB00862	608622
DB00559	161900
DB00559	608622
DB00457	161900
DB00457	608622
DB00727	161900
DB00727	608622
DB00641	161900
DB00641	608622
DB00571	161900
DB00571	608622
DB04861	161900
DB04861	608622
DB00820	161900
DB00820	608622
DB00669	161900
DB00669	608622
DB00960	161900
DB00960	608622
DB00678	161900
DB00678	608622
DB06268	161900
DB06268	608622
DB08931	161900
DB08931	608622
DB04920	161900
DB04920	608622
DB08932	161900
DB08932	608622
DB00275	161900
DB00275	608622
DB08901	161900
DB08901	608622
DB06605	161900
DB06605	608622
DB01242	168100
DB01242	168600
DB01242	168600
DB01184	168100
DB01184	168600
DB01184	168600
DB00915	168100
DB00915	168600
DB00915	168600
DB00555	168100
DB00555	168600
DB00555	168600
DB01037	168100
DB01037	168600
DB01037	168600
DB00734	168100
DB00734	168600
DB00734	168600
DB01043	168100
DB01043	168600
DB01043	168600
DB05271	168100
DB05271	168600
DB05271	168600
DB00268	168100
DB00268	168600
DB00268	168600
DB01267	168100
DB01267	168600
DB01267	168600
DB00211	168100
DB00211	168600
DB00211	168600
DB00323	168100
DB00323	168600
DB00323	168600
DB00261	188050
DB01249	188050
DB00208	188050
DB06209	188050
DB08816	188050
DB00006	188050
DB02351	188050
DB00555	208700
DB00555	267740
DB00555	300491
DB00555	600131
DB00555	604827
DB00555	607628
DB00555	607631
DB00555	607681
DB00555	607682
DB00555	608105
DB00593	208700
DB00593	267740
DB00593	300491
DB00593	600131
DB00593	604827
DB00593	607628
DB00593	607631
DB00593	607681
DB00593	607682
DB00593	608105
DB00819	208700
DB00819	267740
DB00819	300491
DB00819	600131
DB00819	604827
DB00819	607628
DB00819	607631
DB00819	607681
DB00819	607682
DB00819	608105
DB00628	208700
DB00628	267740
DB00628	300491
DB00628	600131
DB00628	604827
DB00628	607628
DB00628	607631
DB00628	607681
DB00628	607682
DB00628	608105
DB00363	208700
DB00363	267740
DB00363	300491
DB00363	600131
DB00363	604827
DB00363	607628
DB00363	607631
DB00363	607681
DB00363	607682
DB00363	608105
DB06709	208700
DB06709	267740
DB06709	300491
DB06709	600131
DB06709	604827
DB06709	607628
DB06709	607631
DB06709	607681
DB06709	607682
DB06709	608105
DB00949	208700
DB00949	267740
DB00949	300491
DB00949	600131
DB00949	604827
DB00949	607628
DB00949	607631
DB00949	607681
DB00949	607682
DB00949	608105
DB00349	208700
DB00349	267740
DB00349	300491
DB00349	600131
DB00349	604827
DB00349	607628
DB00349	607631
DB00349	607681
DB00349	607682
DB00349	608105
DB00996	208700
DB00996	267740
DB00996	300491
DB00996	600131
DB00996	604827
DB00996	607628
DB00996	607631
DB00996	607681
DB00996	607682
DB00996	608105
DB00181	208700
DB00181	267740
DB00181	300491
DB00181	600131
DB00181	604827
DB00181	607628
DB00181	607631
DB00181	607681
DB00181	607682
DB00181	608105
DB00829	208700
DB00829	267740
DB00829	300491
DB00829	600131
DB00829	604827
DB00829	607628
DB00829	607631
DB00829	607681
DB00829	607682
DB00829	608105
DB00252	208700
DB00252	267740
DB00252	300491
DB00252	600131
DB00252	604827
DB00252	607628
DB00252	607631
DB00252	607681
DB00252	607682
DB00252	608105
DB00291	208700
DB00291	267740
DB00291	300491
DB00291	600131
DB00291	604827
DB00291	607628
DB00291	607631
DB00291	607681
DB00291	607682
DB00291	608105
DB01188	208700
DB01188	267740
DB01188	300491
DB01188	600131
DB01188	604827
DB01188	607628
DB01188	607631
DB01188	607681
DB01188	607682
DB01188	608105
DB01068	208700
DB01068	267740
DB01068	300491
DB01068	600131
DB01068	604827
DB01068	607628
DB01068	607631
DB01068	607681
DB01068	607682
DB01068	608105
DB00313	208700
DB00313	267740
DB00313	300491
DB00313	600131
DB00313	604827
DB00313	607628
DB00313	607631
DB00313	607681
DB00313	607682
DB00313	608105
DB00564	208700
DB00564	267740
DB00564	300491
DB00564	600131
DB00564	604827
DB00564	607628
DB00564	607631
DB00564	607681
DB00564	607682
DB00564	608105
DB01043	208700
DB01043	267740
DB01043	300491
DB01043	600131
DB01043	604827
DB01043	607628
DB01043	607631
DB01043	607681
DB01043	607682
DB01043	608105
DB04953	208700
DB04953	267740
DB04953	300491
DB04953	600131
DB04953	604827
DB04953	607628
DB04953	607631
DB04953	607681
DB04953	607682
DB04953	608105
DB01174	208700
DB01174	267740
DB01174	300491
DB01174	600131
DB01174	604827
DB01174	607628
DB01174	607631
DB01174	607681
DB01174	607682
DB01174	608105
DB00794	208700
DB00794	267740
DB00794	300491
DB00794	600131
DB00794	604827
DB00794	607628
DB00794	607631
DB00794	607681
DB00794	607682
DB00794	608105
DB00776	208700
DB00776	267740
DB00776	300491
DB00776	600131
DB00776	604827
DB00776	607628
DB00776	607631
DB00776	607681
DB00776	607682
DB00776	608105
DB00423	208700
DB00423	267740
DB00423	300491
DB00423	600131
DB00423	604827
DB00423	607628
DB00423	607631
DB00423	607681
DB00423	607682
DB00423	608105
DB01595	208700
DB01595	267740
DB01595	300491
DB01595	600131
DB01595	604827
DB01595	607628
DB01595	607631
DB01595	607681
DB01595	607682
DB01595	608105
DB00909	208700
DB00909	267740
DB00909	300491
DB00909	600131
DB00909	604827
DB00909	607628
DB00909	607631
DB00909	607681
DB00909	607682
DB00909	608105
DB00683	208700
DB00683	267740
DB00683	300491
DB00683	600131
DB00683	604827
DB00683	607628
DB00683	607631
DB00683	607681
DB00683	607682
DB00683	608105
DB01080	208700
DB01080	267740
DB01080	300491
DB01080	600131
DB01080	604827
DB01080	607628
DB01080	607631
DB01080	607681
DB01080	607682
DB01080	608105
DB06218	208700
DB06218	267740
DB06218	300491
DB06218	600131
DB06218	604827
DB06218	607628
DB06218	607631
DB06218	607681
DB06218	607682
DB06218	608105
DB09119	208700
DB09119	267740
DB09119	300491
DB09119	600131
DB09119	604827
DB09119	607628
DB09119	607631
DB09119	607681
DB09119	607682
DB09119	608105
DB06201	208700
DB06201	267740
DB06201	300491
DB06201	600131
DB06201	604827
DB06201	607628
DB06201	607631
